,COUNTY,USAWT2RC,W1STATE,WWWHISP,CENSDIV,F2,STRATA,WWWRACE3,WWWBLACK,WWWAGE,WWWEDU5,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
569,0.9663828858327874,-1.0,0.9636363636363636,-1,-0.3548387096774195,1.0,1.0,-1,-1,-0.6666666666666665,-0.5,0,0,1,1,0,0,0
1243,-0.5974678017900024,-0.3020754637744739,-0.6000000000000001,-1,0.29032258064516125,0.3333333333333335,1.0,-1,-1,-0.48484848484848464,0.0,0,0,0,0,0,0,0
780,0.6781634286545877,-1.0,0.6727272727272726,-1,0.35483870967741926,1.0,1.0,-1,-1,-0.09090909090909083,0.0,0,0,0,0,1,0,1
779,0.6755439132649346,-0.5223285797444568,0.6727272727272726,-1,0.35483870967741926,0.3333333333333335,1.0,-1,-1,-0.7878787878787877,1.0,0,0,0,0,0,0,0
2076,0.7131630648330056,-1.0,0.709090909090909,1,0.41935483870967727,1.0,-1.0,-1,-1,0.1515151515151516,0.0,1,0,1,1,1,1,1
1744,-0.054209415702539676,-1.0,-0.054545454545454564,-1,-0.29032258064516125,1.0,1.0,-1,-1,2.220446049250313e-16,0.5,1,0,0,1,0,0,0
144,0.7158553445390379,-1.0,0.709090909090909,-1,0.41935483870967727,1.0,-1.0,-1,-1,0.6060606060606064,-0.5,0,0,1,1,1,1,1
898,-0.23604744233427943,0.6905402653951662,-0.23636363636363644,-1,0.41935483870967727,-0.9999999999999999,1.0,-1,-1,-0.1212121212121211,-0.5,0,0,0,0,1,1,1
1429,0.3133959106454194,-1.0,0.3090909090909091,-1,0.29032258064516125,-0.9999999999999999,1.0,0,1,-0.18181818181818166,-0.5,0,0,0,0,0,0,0
2033,-0.41868587644619093,-1.0,-0.4181818181818182,-1,-0.3548387096774195,-0.33333333333333326,0.0,0,1,-0.7575757575757575,0.0,0,0,0,0,0,0,0
1150,0.4915229571418174,0.483291925223863,0.49090909090909074,-1,-0.935483870967742,1.0,1.0,-1,-1,-0.9696969696969696,0.5,1,0,0,1,0,0,1
1282,0.31084915957214565,-0.06644649357097343,0.3090909090909091,-1,0.29032258064516125,1.0,1.0,-1,-1,-0.48484848484848464,0.5,0,0,0,1,1,1,1
1206,-0.4171578258022267,-0.6224473378117272,-0.4181818181818182,-1,-0.3548387096774195,0.3333333333333335,1.0,-1,-1,-0.15151515151515138,0.0,1,0,0,0,1,0,0
1172,0.38193989667467054,-0.6833743553501554,0.38181818181818183,-1,-0.3548387096774195,0.3333333333333335,1.0,-1,-1,-0.09090909090909083,1.0,1,0,0,0,1,0,1
258,0.2355380921196244,-1.0,0.23636363636363633,1,0.9354838709677418,-0.33333333333333326,-1.0,-1,-1,-0.7878787878787877,0.0,0,0,1,0,0,0,1
393,-0.08644400785854633,-0.9916596417118563,-0.09090909090909094,-1,-0.3548387096774195,-0.33333333333333326,0.0,0,1,-0.606060606060606,0.5,1,0,0,0,0,0,0
960,-0.7107618423924909,-0.10044373383227012,-0.7090909090909091,-1,-1.0,-0.33333333333333326,1.0,-1,-1,0.36363636363636376,1.0,0,0,0,1,1,0,0
877,0.12602779596885672,-0.15349270042564922,0.1272727272727272,-1,0.9354838709677418,-0.33333333333333326,1.0,-1,-1,0.6060606060606064,0.0,1,0,0,0,1,0,0
