,COUNTY,F2,WWWEDU5,WWWAGE,W1STATE,CENSDIV,CENSREGN,STRATA,WWWWHITE,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1655,-0.41868587644619093,1.0,0.0,0.6060606060606064,-0.4181818181818182,-0.3548387096774195,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
160,0.7158553445390379,1.0,-0.5,0.666666666666667,0.709090909090909,0.41935483870967727,0.3333333333333335,-1.0,1,0,0,1,1,0,0,0
1275,-0.9978170705086227,-0.33333333333333326,0.5,-0.6363636363636362,-1.0,0.35483870967741926,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
883,0.27468529433165956,0.3333333333333335,-0.5,-0.09090909090909083,0.2727272727272727,-0.935483870967742,-0.9999999999999999,1.0,1,1,0,1,1,1,1,1
2479,-0.41868587644619093,1.0,0.0,0.9696969696969697,-0.4181818181818182,-0.3548387096774195,-0.33333333333333326,-1.0,1,0,0,1,1,1,0,1
1146,0.19944699119551745,-0.33333333333333326,0.5,-0.45454545454545436,0.19999999999999996,-0.935483870967742,-0.9999999999999999,1.0,1,1,0,1,1,1,1,1
1096,0.3096849305100777,-0.33333333333333326,-0.5,-0.09090909090909083,0.3090909090909091,0.29032258064516125,0.3333333333333335,1.0,1,1,0,1,1,1,1,1
874,0.23510150622134884,0.3333333333333335,-0.5,-0.6666666666666665,0.23636363636363633,0.9354838709677418,1.0,1.0,-1,0,0,0,0,1,1,1
663,0.45477697737029743,1.0,0.0,-0.1212121212121211,0.45454545454545436,0.9999999999999998,1.0,1.0,1,0,0,1,0,0,1,0
1056,0.09102815979043855,1.0,0.5,-0.5454545454545454,0.09090909090909083,-0.29032258064516125,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
2068,-0.560358000436586,1.0,-0.5,-0.15151515151515138,-0.5636363636363637,0.29032258064516125,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
2753,-0.562104344029688,1.0,0.5,-0.606060606060606,-0.5636363636363637,0.29032258064516125,0.3333333333333335,0.0,-1,0,0,0,0,1,0,1
1793,0.49297824346940233,-0.33333333333333326,-0.5,-0.8181818181818181,0.49090909090909074,-0.935483870967742,-0.9999999999999999,1.0,1,0,0,1,1,1,1,0
878,-0.8189623808484321,-0.9999999999999999,-0.5,0.48484848484848486,-0.8181818181818182,0.9999999999999998,1.0,1.0,1,0,0,1,1,0,1,0
984,-0.8511242086880595,0.3333333333333335,-0.5,-0.8484848484848484,-0.8545454545454545,0.41935483870967727,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
968,0.4934148293676779,-0.9999999999999999,0.0,-0.5757575757575757,0.49090909090909074,-0.935483870967742,-0.9999999999999999,1.0,1,1,0,1,1,1,1,0
1039,0.09037328094302532,0.3333333333333335,0.0,-0.6363636363636362,0.09090909090909083,-0.29032258064516125,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
1242,0.8921632831259547,1.0,1.0,-0.06060606060606055,0.8909090909090909,0.9999999999999998,1.0,1.0,1,0,0,1,0,0,1,1
2345,0.7090882631157678,-0.9999999999999999,-1.0,0.666666666666667,0.709090909090909,0.41935483870967727,0.3333333333333335,-1.0,-1,0,0,0,0,0,0,0
1667,0.01746343593101929,1.0,1.0,0.030303030303030498,0.018181818181818077,-0.29032258064516125,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
682,0.018409372043949546,0.3333333333333335,1.0,-0.5757575757575757,0.018181818181818077,-0.29032258064516125,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
1069,-0.6011787819253439,-0.33333333333333326,-1.0,0.7575757575757578,-0.6000000000000001,0.29032258064516125,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
1314,-0.3773557447427782,-0.33333333333333326,1.0,-0.06060606060606055,-0.38181818181818183,-0.3548387096774195,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
192,-0.8180892090518811,-0.33333333333333326,-1.0,0.6363636363636367,-0.8181818181818182,0.9999999999999998,1.0,-1.0,-1,0,0,0,0,0,0,0
1239,-0.30917558029542325,-0.33333333333333326,-0.5,0.9393939393939394,-0.3090909090909091,-0.29032258064516125,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
270,-0.14658371534599446,-0.33333333333333326,-0.5,-0.2424242424242422,-0.1636363636363637,0.29032258064516125,0.3333333333333335,0.0,-1,0,0,0,0,1,0,1
1182,1.0,1.0,0.5,0.6969696969696972,0.9999999999999998,0.9354838709677418,1.0,1.0,1,1,0,1,0,1,1,1
658,0.7461980644691841,0.3333333333333335,0.5,-0.45454545454545436,0.7454545454545454,0.9354838709677418,1.0,1.0,1,1,0,1,0,1,1,1
1658,0.3818671323582914,0.3333333333333335,0.0,0.3030303030303032,0.38181818181818183,-0.3548387096774195,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
1005,0.27504911591355574,0.3333333333333335,0.5,-0.06060606060606055,0.2727272727272727,-0.935483870967742,-0.9999999999999999,1.0,1,1,0,1,1,1,1,1
106,0.7170195736011058,1.0,-0.5,0.12121212121212133,0.709090909090909,0.41935483870967727,0.3333333333333335,-1.0,-1,1,0,0,0,0,0,0
1089,0.8175798588372261,-0.33333333333333326,0.0,-0.48484848484848464,0.8181818181818181,0.29032258064516125,0.3333333333333335,1.0,1,0,0,1,0,1,1,1
1663,0.6005239030779304,-0.33333333333333326,-0.5,0.666666666666667,0.5999999999999999,0.29032258064516125,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
1406,-0.3799752601324312,0.3333333333333335,0.0,-0.909090909090909,-0.38181818181818183,-0.3548387096774195,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
706,0.41759441170050193,1.0,0.0,-0.6363636363636362,0.4181818181818182,0.41935483870967727,0.3333333333333335,1.0,1,0,0,1,0,1,1,1
2940,-0.08644400785854633,0.3333333333333335,0.5,-0.7272727272727272,-0.09090909090909094,-0.3548387096774195,-0.33333333333333326,0.0,-1,1,0,0,1,1,0,1
1910,-0.08731717965509733,0.3333333333333335,0.0,0.09090909090909105,-0.09090909090909094,-0.3548387096774195,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
1037,-0.3796842028669142,0.3333333333333335,0.5,0.12121212121212133,-0.38181818181818183,-0.3548387096774195,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
3086,0.4913046641926797,-0.33333333333333326,-0.5,0.3030303030303032,0.49090909090909074,-0.935483870967742,-0.9999999999999999,1.0,1,1,0,1,1,1,1,0
2703,0.27315724368769545,1.0,0.0,-0.7575757575757575,0.2727272727272727,-0.935483870967742,-0.9999999999999999,0.0,-1,1,0,0,1,1,0,0
