,COUNTY,WWWRACE4,WWWAGEC1,W1STATE,HISWT1RV,STRATA,CENSDIV,CL2,WWWEDU3,RHWT2CC,W3IWER4_A
236,0.23538852180465808,0.9924742519649596,-0.9955797134098126,0.9492848354635884,0.9739033098504091,-0.9983388995676009,0.7874464681990886,0.5357067219100522,-0.1932074598377846,0.04915862308871531,0
770,0.30845769127977096,0.9949828346433065,-0.9941062845464167,0.9541148511337229,0.9705887119140212,-0.9991694497838005,0.7874464681990886,0.5357067219100522,-0.1948120925094632,0.047914204852993914,0
398,0.5247598649347276,0.9949828346433065,-0.9955797134098126,0.9686048981441262,0.9757738970705782,-0.9983388995676009,0.7874464681990886,0.5602806137389102,-0.1948120925094632,0.047914204852993914,0
385,0.30845769127977096,0.9949828346433065,-0.991159426819625,0.9541148511337229,0.9704373910306059,-0.9991694497838005,0.7874464681990886,0.5357067219100522,-0.1932074598377846,0.04797535371351821,0
114,-0.19910429310600353,0.9924742519649596,-0.9985265711366043,0.9203047414427816,0.9704373910306059,-0.9983388995676009,0.8098067824626136,0.5357067219100522,-0.1932074598377846,0.04914391813231477,0
562,0.3088934914953283,0.9924742519649596,-0.991159426819625,0.9541148511337229,0.9736048613341595,-0.9983388995676009,0.7874464681990886,0.5602806137389102,-0.1948120925094632,0.047914204852993914,0
343,-0.5241386205425148,0.9949828346433065,-0.991159426819625,0.8985696709271767,0.9704373910306059,-0.9991694497838005,0.8076772287232302,0.5357067219100522,-0.1948120925094632,0.05099436919814258,0
37,0.2721410066499932,0.9924742519649596,-0.991159426819625,0.9516998432986556,0.9704373910306059,-1.0,0.818324997420147,0.5602806137389102,-0.1948120925094632,0.04806626984467004,0
1013,-0.9481602828353329,0.3468647616096209,-0.05081279152807183,0.5539599996639273,0.8058387760548471,-0.04993764283319413,-0.06947768995052894,0.7488622948682815,0.3737574294693474,0.5019253664712005,0
619,-0.11052789929397544,0.9949828346433065,-0.9970531422732084,0.9251347571129162,0.9708736301166841,-0.9991694497838005,0.8076772287232302,0.5602806137389102,-0.1948120925094632,0.047914204852993914,0
1079,-0.9261825309347385,0.0771546113120789,0.34800449043273973,0.4253204078922293,0.7292538831599432,0.3482359577753624,-0.4214194597055123,0.8453103019341752,0.6115598975616763,0.6893594886346625,0
567,-0.4171496676231894,0.9974914173216534,-1.0,0.9058146944323783,0.9782419472977303,-0.9983388995676009,0.818324997420147,0.5602806137389102,-0.1932074598377846,0.047914204852993914,0
133,-0.5617263891343349,0.9974914173216534,-0.9955797134098126,0.8961546630921093,0.9704373910306059,-1.0,0.8076772287232302,0.5357067219100522,-0.1948120925094632,0.047961972099333956,0
677,-0.12785095786237954,0.9949828346433065,-0.9955797134098126,0.9251347571129162,0.9704724901906203,-0.9991694497838005,0.8076772287232302,0.5602806137389102,-0.1932074598377846,0.04797293733535336,0
342,0.30896612486458785,0.9949828346433065,-0.9970531422732084,0.9541148511337229,0.9704997088093367,-0.9991694497838005,0.7874464681990886,0.5357067219100522,-0.1948120925094632,0.047914204852993914,0
921,-0.9523676629600248,0.3985240870789314,-0.12844605324938108,0.5793487939627164,0.8162322569073991,-0.12622629593765444,-0.0007455111550023208,0.7345666931495507,0.3281655490438631,0.46432247965999573,0
416,0.6703897703001365,0.9924742519649596,-0.9985265711366043,0.9782649294843951,0.9742822341211692,-0.9983388995676009,0.7980942368960052,0.5357067219100522,-0.1932074598377846,0.047914204852993914,0
283,0.7447663404219214,0.9974914173216534,-0.9926328556830208,0.9830949451545297,0.9704373910306059,-1.0,0.8098067824626136,0.5357067219100522,-0.19641672518114184,0.04800737157724342,0
610,-0.562198506034522,1.0000000000000002,-0.991159426819625,0.8961546630921093,0.9710688977262426,-0.9983388995676009,0.8076772287232302,0.5357067219100522,-0.1948120925094632,0.04956641499384067,0
1001,-0.966419373804384,0.5686849294262077,-0.38166052303307285,0.6623048068885506,0.859714048327752,-0.38031038367222625,0.22509272706755468,0.6723149203895248,0.17689865658534776,0.34287921057725207,0
1076,-0.9543922826626225,0.42300336172126995,-0.16457356851718508,0.5901178841913536,0.8242787524051396,-0.16318664233549263,0.03125180064733912,0.7221468562919612,0.30624954182908837,0.44827480286486465,0
617,-0.8546930840427523,0.9974914173216534,-0.991159426819625,0.8768346004115716,0.9704373910306059,-1.0,0.818324997420147,0.5357067219100522,-0.1948120925094632,0.04800502089732848,0
844,-0.988453089175144,0.8399803603576569,-0.7819761896989301,0.7915841439494431,0.9377550961517818,-0.7794891203700653,0.5782540933148996,0.5780305802437369,-0.06155204530188302,0.1544875117366813,0
364,-0.7799533470746697,0.9924742519649596,-0.991159426819625,0.881664616081706,0.9704373910306059,-0.9983388995676009,0.8193897742898386,0.5357067219100522,-0.1948120925094632,0.049208005643227026,0
55,-0.37734658126895293,0.9949828346433065,-0.991159426819625,0.9082297022674455,0.9705053679212505,-0.9991694497838005,0.7970294600263136,0.5357067219100522,-0.1948120925094632,0.047914204852993914,0
608,-0.9272901366176782,0.9924742519649596,-0.9926328556830208,0.872004584741437,0.9761983844927683,-0.9983388995676009,0.8193897742898386,0.5602806137389102,-0.1948120925094632,0.04994608488926729,0
630,-0.23396831035059018,0.9949828346433065,-0.9941062845464167,0.9178897336077144,0.9704373910306059,-0.9991694497838005,0.8087420055929219,0.5602806137389102,-0.1948120925094632,0.04801111264164469,0
998,-0.9764877556816255,0.6919151491507353,-0.5638941041351966,0.7221640000955156,0.893839599617226,-0.562421901463206,0.3866958830417606,0.629995898554984,0.06845221553456604,0.25588120402255116,0
1043,-0.9883738514625096,0.8382898728223303,-0.7794846074616978,0.7917819921102475,0.9355670411337792,-0.7779661577147136,0.5771470087216869,0.5781208185960232,-0.0605805026063283,0.15460399298226996,0
267,0.7436042065137685,0.9924742519649596,-0.9955797134098126,0.9830949451545297,0.9704838097993833,-1.0,0.8098067824626136,0.5357067219100522,-0.1948120925094632,0.047914204852993914,0
788,0.92642239694007,0.9924742519649596,-0.9985265711366043,0.9951699843298658,0.9727582228336342,-0.9983388995676009,0.8193897742898386,0.5602806137389102,-0.1948120925094632,0.047914204852993914,0
397,-0.5266807884665993,0.9949828346433065,-0.9970531422732084,0.8985696709271767,0.9704373910306059,-0.9983388995676009,0.8076772287232302,0.5602806137389102,-0.1948120925094632,0.05747179294596793,0
348,-0.7827134151065327,0.9949828346433065,-0.9985265711366043,0.881664616081706,0.9733893444613544,-0.9983388995676009,0.8193897742898386,0.5357067219100522,-0.1948120925094632,0.047914204852993914,0
664,-0.05049641960095275,0.9924742519649596,-0.9955797134098126,0.9299647727830506,0.9771025136958473,-0.9983388995676009,0.7970294600263136,0.5602806137389102,-0.1948120925094632,0.049672546685898905,0
766,0.7491243425774947,0.9924742519649596,-0.9955797134098126,0.9830949451545297,0.9794572218159766,-0.9983388995676009,0.8098067824626136,0.5602806137389102,-0.1948120925094632,0.047914204852993914,0
938,-0.9663555868638573,0.567844384274935,-0.38123182214245954,0.6617907849114487,0.859597030606437,-0.3792390935282477,0.224176579635179,0.67314673965353,0.1780725290245917,0.34335366803708595,0
799,0.7075780553610289,0.9924742519649596,-0.9985265711366043,0.9806799373194623,0.97198468199921,-0.9983388995676009,0.8087420055929219,0.5787110326105538,-0.1932074598377846,0.04847549862088079,0
186,-0.3821403836400836,0.9949828346433065,-0.9941062845464167,0.9082297022674455,0.9704373910306059,-0.9991694497838005,0.7970294600263136,0.5357067219100522,-0.1948120925094632,0.04900911075574279,0
969,-0.9022565476119241,-0.21431501331000313,0.7811076814440323,0.2840866696549639,0.6517093374626027,0.7809965203474158,-0.8058204168251479,0.948260204333564,0.8692056896881931,0.8959520220342698,0
227,0.7801387912513251,0.9924742519649596,-0.9955797134098126,0.9855099529895969,0.9734166792063413,-0.9983388995676009,0.818324997420147,0.5357067219100522,-0.1948120925094632,0.047914204852993914,0
764,-0.6011299919576438,0.9924742519649596,-0.9926328556830208,0.8937396552570421,0.970478424690927,-0.9991694497838005,0.8076772287232302,0.5357067219100522,-0.1932074598377846,0.047914204852993914,0
873,-0.9742800386218211,0.6657246594718442,-0.5243817223955343,0.7093858887424878,0.8861681906145109,-0.5224239433676683,0.35170960530980133,0.641651011954982,0.09164392726990667,0.2743738105273914,0
649,0.7599467145971686,0.9974914173216534,-0.991159426819625,0.9830949451545297,0.9706185387077076,-1.0,0.8098067824626136,0.5602806137389102,-0.1932074598377846,0.047914204852993914,0
656,0.37971102652339495,1.0000000000000002,-0.9941062845464167,0.9589448668038574,0.9704373910306059,-0.9983388995676009,0.7980942368960052,0.5357067219100522,-0.1948120925094632,0.048328104858302585,0
833,-0.8942209314221445,-0.31243169302689333,0.9262933038935339,0.23677704351097106,0.6258786614166165,0.92683006701279,-0.9344816484603324,0.9848028818715167,0.9565534734974356,0.9643582384974317,0
837,-0.9885206720337878,0.8405442517414164,-0.7812342817542401,0.7919435659586488,0.9385053637612464,-0.7807752210939478,0.5787011189312433,0.5744357870751726,-0.06297295664098199,0.15477249002049187,0
940,-0.9480842492100784,0.34588890396188876,-0.04932362474651841,0.5542745889261339,0.8041961073374294,-0.04844169942010523,-0.06994723419390803,0.7517149095201447,0.3749141870673208,0.5013170783949035,0
125,-0.19910429310600353,0.9949828346433065,-0.9941062845464167,0.9203047414427816,0.9704373910306059,-0.9991694497838005,0.8098067824626136,0.5357067219100522,-0.1932074598377846,0.04798216613039788,0
235,-0.3826488172249005,0.9924742519649596,-0.9970531422732084,0.9082297022674455,0.9736269056373469,-0.9983388995676009,0.7970294600263136,0.5602806137389102,-0.1948120925094632,0.047914204852993914,0
658,-0.3434267978247405,0.9924742519649596,-0.991159426819625,0.9106447101025128,0.9704373910306059,-0.9983388995676009,0.7970294600263136,0.5357067219100522,-0.1948120925094632,0.049413514456825375,0
744,0.30896612486458785,0.9949828346433065,-0.9985265711366043,0.9541148511337229,0.9705211497629507,-0.9991694497838005,0.7874464681990886,0.5602806137389102,-0.1948120925094632,0.047914204852993914,0
569,0.4529980961062867,0.9924742519649596,-1.0,0.9637748824739918,0.9721237139538008,-0.9983388995676009,0.8098067824626136,0.5602806137389102,-0.1932074598377846,0.047914204852993914,0
339,0.7476716751923036,0.9974914173216534,-0.9941062845464167,0.9830949451545297,0.9704373910306059,-1.0,0.8098067824626136,0.5357067219100522,-0.1948120925094632,0.04793764680771215,0
1038,-0.9924615310498859,0.8868360347857617,-0.8527743836334285,0.8161695739303562,0.9469858841868082,-0.851820012103404,0.6431151966442762,0.5599673603391881,-0.1035995192272142,0.11868939904830295,0
669,0.7498506762700903,0.9924742519649596,-0.991159426819625,0.9830949451545297,0.9750148843323424,-0.9983388995676009,0.8098067824626136,0.5357067219100522,-0.1948120925094632,0.04987046471811051,0
1014,-0.9058952737118563,-0.16933645048412393,0.7143350221468481,0.30486629090379,0.6664496493197836,0.7150880213915345,-0.7476318946327121,0.9326498247833908,0.8303606314969981,0.8651637922818518,0
313,-0.5645227738508278,0.9924742519649596,-0.9941062845464167,0.8961546630921093,0.9729067329695497,-0.9983388995676009,0.8076772287232302,0.5357067219100522,-0.1948120925094632,0.047914204852993914,0
89,0.5294810339365987,0.9924742519649596,-0.9955797134098126,0.9686048981441262,0.9725492210751145,-0.9983388995676009,0.7874464681990886,0.5357067219100522,-0.1948120925094632,0.047914204852993914,0
584,0.7436042065137685,0.9949828346433065,-0.9941062845464167,0.9830949451545297,0.9704373910306059,-1.0,0.8098067824626136,0.5357067219100522,-0.1932074598377846,0.04838688502392258,0
367,0.8155838754499882,0.9924742519649596,-0.9970531422732084,0.9879249608246641,0.9704373910306059,-0.9983388995676009,0.786381691329397,0.5357067219100522,-0.1948120925094632,0.053940523596447125,0
916,-0.9283257251446352,0.10476509750614682,0.3087499857234599,0.43696861241556373,0.7412313232760983,0.3089925614454574,-0.38796971270659264,0.8341582430338532,0.5878075339874059,0.672796346775812,0
662,-0.3821403836400836,0.9949828346433065,-0.9941062845464167,0.9082297022674455,0.9704373910306059,-0.9991694497838005,0.7970294600263136,0.5357067219100522,-0.1948120925094632,0.04900911075574279,0
948,-0.9038987426950268,-0.19562206082884281,0.751411039259271,0.29307518171150426,0.6561562682373765,0.7517358469102913,-0.7792314098518391,0.9401518999373966,0.8526530183112152,0.8814471205913659,0
975,-0.9664322078866598,0.5698285209804419,-0.38183017779081185,0.6619871222183523,0.8639432636163712,-0.3808162467464118,0.22437596534295567,0.6707821221993445,0.17648890426966568,0.3441297615038093,0
198,-0.05223962046318209,0.9924742519649596,-0.9985265711366043,0.9299647727830506,0.9737699523632266,-0.9983388995676009,0.7970294600263136,0.5357067219100522,-0.1948120925094632,0.047914204852993914,0
1054,-0.9742434869781721,0.6636578041511043,-0.5226556774629685,0.7082753742753615,0.8856984241493575,-0.5218908075874088,0.35067589309731867,0.637364075039781,0.09302655670009802,0.2755677109746845,0
561,-0.7806070473980057,0.9924742519649596,-0.9970531422732084,0.881664616081706,0.9764567596232122,-0.9983388995676009,0.8193897742898386,0.5602806137389102,-0.1948120925094632,0.047914204852993914,0
209,0.5283189000284458,0.9949828346433065,-0.9955797134098126,0.9686048981441262,0.9704373910306059,-0.9983388995676009,0.7874464681990886,0.5602806137389102,-0.1932074598377846,0.05056771870735255,0
1067,-0.9222861390213234,0.02995569865038139,0.4179749148376284,0.40204459804874343,0.7169047628476559,0.4185861565568909,-0.4841042985792525,0.8619991124042707,0.6533209917127442,0.7233312633025849,0
1003,-0.9039316103585822,-0.1937246236436978,0.7508818854853319,0.2943060854394516,0.6581068815138558,0.7510198623367073,-0.7790204561336374,0.9420227550634892,0.8512872588747799,0.8811752189756922,0
795,0.5278830998128885,0.9974914173216534,-0.9970531422732084,0.9686048981441262,0.9704373910306059,-0.9983388995676009,0.7874464681990886,0.5602806137389102,-0.1948120925094632,0.051490141703450704,0
18,0.34971344501919854,0.9974914173216534,-0.9985265711366043,0.9565298589687901,0.9740066963692166,-0.9983388995676009,0.8076772287232302,0.5602806137389102,-0.1932074598377846,0.047914204852993914,0
109,0.4179161787539212,0.9924742519649596,-0.9941062845464167,0.9613598746389246,0.9704373910306059,-0.9983388995676009,0.7970294600263136,0.5602806137389102,-0.1932074598377846,0.04814028087471737,0
217,0.016616813594876545,0.9949828346433065,-0.991159426819625,0.9347947884531851,0.9705487503788673,-0.9991694497838005,0.8087420055929219,0.5357067219100522,-0.1932074598377846,0.04810054580686145,0
898,-0.9032582089431447,-0.203248326718396,0.7626806476935721,0.2905470809344537,0.6519997660757997,0.7635381358101683,-0.7888040034674462,0.9466344844275505,0.8595523315775971,0.8854408371715261,0
60,0.7436042065137685,0.9924742519649596,-0.9970531422732084,0.9830949451545297,0.9709153452653968,-1.0,0.8098067824626136,0.5602806137389102,-0.1948120925094632,0.047914204852993914,0
655,0.7503591098549072,0.9974914173216534,-0.9955797134098126,0.9830949451545297,0.9705060624114715,-1.0,0.8098067824626136,0.5357067219100522,-0.1932074598377846,0.047914204852993914,0
1034,-0.9762712874939072,0.6890410504812456,-0.5604373378600982,0.7202720793609547,0.8917026390826231,-0.5587595521639168,0.38368040167251666,0.6305151938488776,0.07079758539216224,0.2577944052493456,0
1008,-0.91612174532692,-0.0445979270508321,0.5291668139286152,0.3651051782785495,0.6990670655590198,0.5299217577492252,-0.5835390168642014,0.8877336468501869,0.7195789817604762,0.7773660986673977,0
300,-0.9642242048861622,0.9924742519649596,-0.991159426819625,0.8695895769063698,0.9704373910306059,-0.9983388995676009,0.8087420055929219,0.5602806137389102,-0.1948120925094632,0.04887125265924112,0
779,-0.092623773771495,0.9924742519649596,-0.991159426819625,0.9275497649479834,0.9704373910306059,-0.9983388995676009,0.786381691329397,0.5357067219100522,-0.1948120925094632,0.049932660709420915,0
707,0.3439754088476936,0.9974914173216534,-0.9926328556830208,0.9565298589687901,0.9788790764149975,-0.9983388995676009,0.8076772287232302,0.5602806137389102,-0.1948120925094632,0.047914204852993914,0
982,-0.9282486053880654,0.10329193294073458,0.30970541225206816,0.43682696064984716,0.7385002436580768,0.31068407753518823,-0.3884809147852666,0.8364527649389701,0.5890334365235023,0.6722893107656026,0
963,-0.944393854291865,0.2999919769450474,0.016262125728699228,0.5330797776553702,0.7882361739462742,0.018988292101023374,-0.12838947274982515,0.7708977950883759,0.41526902400303844,0.5313855807439463,0
1046,-0.9283302735965919,0.10370900930888738,0.3092809381166173,0.43749704277986523,0.7380667656304669,0.3093923245683181,-0.3874264061495478,0.8346766829323804,0.5880202085385869,0.6716510297381661,0
777,0.30896612486458785,0.9949828346433065,-0.9970531422732084,0.9541148511337229,0.9704997088093367,-0.9991694497838005,0.7874464681990886,0.5357067219100522,-0.1948120925094632,0.047914204852993914,0
1030,-0.9323169075061404,0.1533269342835245,0.23548916732113923,0.4613820952462937,0.7511051240303803,0.23675365172916552,-0.32286235048112966,0.8205458561402632,0.5450969211747215,0.6368734272123047,0
987,-0.9563931271723896,0.4476790787205617,-0.20125101161089654,0.6021622825125812,0.8322280699802305,-0.199077270064981,0.06335738382815381,0.715162974963843,0.285146134545766,0.43061508251396985,0
845,-0.92029725968878,0.007351736547373311,0.4536046622368475,0.38980985056107237,0.7154440964648845,0.4544912317236116,-0.5166263951241941,0.8708403851697689,0.6742952174473638,0.7414521252772474,0
552,0.30896612486458785,0.9949828346433065,-0.9941062845464167,0.9541148511337229,0.9707438041154283,-0.9991694497838005,0.7874464681990886,0.5357067219100522,-0.1948120925094632,0.04804019746187861,0
228,-0.3821403836400836,0.9949828346433065,-0.9985265711366043,0.9082297022674455,0.9705156567555662,-0.9991694497838005,0.7970294600263136,0.5357067219100522,-0.1932074598377846,0.0480175949792842,0
746,-0.05405545469467099,0.9924742519649596,-0.9941062845464167,0.9299647727830506,0.9768164202440879,-0.9983388995676009,0.7970294600263136,0.5357067219100522,-0.1948120925094632,0.047914204852993914,0
333,0.30845769127977096,0.9949828346433065,-0.9941062845464167,0.9541148511337229,0.9705887119140212,-0.9991694497838005,0.7874464681990886,0.5357067219100522,-0.1948120925094632,0.047914204852993914,0
1025,-0.9363399423309102,0.20007294243090612,0.16389270121220645,0.48583567098053554,0.7595835533668991,0.16459443103508242,-0.2576757018920788,0.8029678797633772,0.5029141016645077,0.6006279282880949,0
846,-0.8942582145419854,-0.31188370612468375,0.9258592970762276,0.23746039167523936,0.6258280665237211,0.9262282425397237,-0.9341773707928582,0.9846566912880699,0.9557649665614197,0.964082406770919,0
946,-0.9664372705885454,0.5706665015101412,-0.38323251622961574,0.6622402270968185,0.8632909649478548,-0.38094688199465077,0.22495631552888995,0.673551435403811,0.17604514263420573,0.34352483470651923,0
