,WWWMALE,WWWWHITE,WWWSEX,W2TOTCL,W12WHITE,AGE65PLM,W2FIPCOM,AGE4049M,W12EDUC3,W12BLACK,W1FIPCOM,WWWBLACK,AGE5059M,AGE1829,AGE3039,WWWHOMLN,W2CIVLIB,W1TRUAM2,WWWAGEC1,EDUCAT4,CENSDIV,W12HISP,WWWEDU3,WWWBRNUS,WWWHISP,W1STATE,WWWEDU5,W2SECURE,W12RACE4,WWWRACE4,AGE6064M,RAC3,NEWRACE,WWWRACE3,WWWAGE,IMPHISP,COMPLET2,RACES,W12OTHET,W2MISSCL,USAWT2RC,USAWT1RV,RACWT1RV,MULT2,RHWT2RC,RHWT2CC,USAWT2CC,USAWT2NC,W3IWER4_A
488,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.4285714285714285,1,1.0,-1.0,-1.0,-1.0,-1.0,0.6000000000000001,0.33333333333333326,-0.33333333333333326,0.29032258064516125,-1.0,0.0,1.0,-1,0.3090909090909091,0.0,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,0.06666666666666687,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.721806363320574,-0.5214619794808977,-1.0,-1.0,-1.0,-1.0,-1.0,0
332,1,1,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.4285714285714285,-1,-1.0,-1.0,1.0,-1.0,-1.0,0.6000000000000001,-0.33333333333333326,1.0,0.29032258064516125,-1.0,1.0,1.0,-1,-0.1636363636363637,0.5,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.43999999999999995,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8329739186807676,-0.8658150663146975,-1.0,-1.0,-1.0,-1.0,-1.0,0
222,-1,1,1.0,1.0000000000000002,1.0,1.0,0.4285714285714285,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0.4545454545454546,-1.0,0.9999999999999998,-0.33333333333333326,0.29032258064516125,-1.0,0.0,1.0,-1,-0.6000000000000001,-0.5,-0.2727272727272727,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,0.5733333333333337,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-0.7142857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8943911535283595,-0.89439115352835,-0.8937216130815713,0
29,-1,-1,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.1428571428571429,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.6000000000000001,0.9999999999999998,-0.9999999999999999,-0.3548387096774195,-1.0,-1.0,1.0,-1,0.38181818181818183,-1.0,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,0.52,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.8834715313773427,-0.7995521990567571,-1.0,-1.0,-1.0,-1.0,-1.0,0
475,1,-1,-1.0,0.8181818181818183,-1.0,-1.0,-0.1428571428571429,-1.0,0.0,-1.0,-1.0,-1,-1.0,1.0,-1.0,-1.0,0.6363636363636365,-1.0,-1.0,0.3333333333333335,0.41935483870967727,-1.0,0.0,1.0,-1,0.709090909090909,0.0,-0.6363636363636362,1.0,1.0,-1.0,1.0,-1.0,1,-0.9733333333333333,0.2796165332134928,0.0,0.6000000000000001,1.0,-0.4285714285714286,-1.0,-1.0,-1.0,0.0,-1.0,-0.8535349626268504,-0.8535349626268617,-0.8524817030518426,0
383,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-0.1428571428571429,1,-1.0,1.0,-1.0,-1.0,-1.0,-0.6,-0.6666666666666666,0.3333333333333335,-0.935483870967742,-1.0,0.0,1.0,-1,0.2727272727272727,0.0,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,-0.7066666666666666,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.995928610031321,-0.9929965511807082,-1.0,-1.0,-1.0,-1.0,-1.0,0
275,1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.9999999999999999,-1,-1.0,1.0,-1.0,1.0,-1.0,-0.6,-1.0,0.3333333333333335,0.41935483870967727,1.0,0.0,1.0,1,0.709090909090909,0.0,-1.0,0.3333333333333335,0.3333333333333335,-1.0,-1.0,-1.0,-1,-0.8666666666666666,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9840971992605294,-0.9872240535982076,-1.0,-1.0,-1.0,-1.0,-1.0,0
485,1,1,-1.0,1.0000000000000002,1.0,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,-0.1428571428571429,-1,-1.0,-1.0,1.0,1.0,0.4545454545454546,0.20000000000000018,-0.33333333333333326,-0.33333333333333326,-0.3548387096774195,-1.0,0.0,1.0,-1,0.9636363636363636,-0.5,-0.2727272727272727,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.46666666666666656,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-0.7142857142857143,-0.5104855122243627,-0.7979168312808336,-0.8376510040868363,-1.0,-0.670648026960832,-0.8602535140137582,-0.8602535140138409,-1.0,0
46,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.4285714285714285,-1,-1.0,1.0,-1.0,1.0,-1.0,-0.19999999999999996,-1.0,1.0,0.9354838709677418,1.0,1.0,1.0,1,-0.4545454545454546,0.5,-1.0,0.3333333333333335,0.3333333333333335,-1.0,-1.0,-1.0,-1,-0.9199999999999999,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.7221150287635375,-0.7767535696042834,-1.0,-1.0,-1.0,-1.0,-1.0,0
145,-1,-1,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.1428571428571429,1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.9999999999999998,-0.33333333333333326,0.29032258064516125,-1.0,0.0,1.0,-1,-0.6000000000000001,-0.5,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,0.2533333333333334,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.9921115976357762,-0.9864306729028047,-1.0,-1.0,-1.0,-1.0,-1.0,0
348,-1,1,1.0,1.0000000000000002,1.0,1.0,0.9999999999999999,-1.0,0.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0.6363636363636365,-1.0,0.9999999999999998,0.3333333333333335,0.9999999999999998,-1.0,0.0,1.0,-1,-0.8181818181818182,0.0,-0.4545454545454545,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,0.4933333333333334,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-0.7142857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8394770350974281,-0.8394770350974736,-0.8389019264772065,0
451,-1,1,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.4285714285714285,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,0.0,1.0,0.29032258064516125,-1.0,1.0,1.0,-1,0.3090909090909091,1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.2799999999999998,0.2796165332134928,0.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.7889758024830574,-0.830467986040681,-1.0,-1.0,-1.0,-1.0,-1.0,0
428,1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,-0.1428571428571429,1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.3333333333333335,0.35483870967741926,-1.0,0.0,1.0,-1,-1.0,0.0,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,-0.2533333333333332,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.9076613587728932,-0.8411626120652593,-1.0,-1.0,-1.0,-1.0,-1.0,0
483,1,-1,-1.0,1.0000000000000002,-1.0,-1.0,-0.1428571428571429,1.0,1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,1.0,0.09090909090909105,-1.0,0.0,1.0,0.29032258064516125,1.0,1.0,-1.0,1,-0.6000000000000001,1.0,0.09090909090909105,0.3333333333333335,0.3333333333333335,-1.0,-1.0,-1.0,-1,-0.30666666666666664,-1.0,-1.0,-0.9999999999999999,-1.0,-0.7142857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9982346906907299,-0.999239284935245,-0.9992315390033445,0
92,1,1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.9999999999999999,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,0.0,1.0,-0.935483870967742,-1.0,1.0,1.0,-1,0.49090909090909074,1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.30666666666666664,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8667234649627861,-0.8929286799132817,-1.0,-1.0,-1.0,-1.0,-1.0,0
452,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.4285714285714285,-1,-1.0,1.0,-1.0,-1.0,-1.0,0.6000000000000001,-0.6666666666666666,0.3333333333333335,0.9999999999999998,-1.0,0.0,1.0,-1,0.8909090909090909,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.7333333333333333,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8871877467918231,-0.9093692158970247,-1.0,-1.0,-1.0,-1.0,-1.0,0
131,-1,1,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,0.9999999999999999,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-0.19999999999999996,0.0,0.3333333333333335,-0.935483870967742,-1.0,0.0,1.0,-1,0.49090909090909074,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.2799999999999998,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8973470178223264,-0.9175309418905548,-1.0,-1.0,-1.0,-1.0,-1.0,0
387,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.1428571428571429,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.33333333333333326,1.0,0.9999999999999998,-1.0,1.0,1.0,-1,0.8909090909090909,1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,0.040000000000000036,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8043382082940944,-0.8428097915160923,-1.0,-1.0,-1.0,-1.0,-1.0,0
