,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
642,-1.2880296712662296,-0.04779920299832024,-0.15706311829057548,0.2876072268874943,-0.36117152889932524,-0.39672605663440424,0.05262501358814923,0.0030697740930339143,-0.001339390609536537,0,0,1,1,1,1,1
2712,1.6436552259033919,0.2269479444006535,-0.07461134601612254,0.4315709761749617,-0.11573946794707708,0.26811193363601943,-0.07040227839101473,-0.16038515047628837,-0.002607662046912774,0,0,0,0,1,1,0
220,0.7737708386854208,0.5568361359376997,1.5559725982343364,-0.039127574921442775,0.10830974571523695,-0.9510189040647401,-0.013257193784600912,-0.11445942726196891,-0.0018313934482789666,0,0,1,1,1,1,1
164,0.5326650326979177,-1.4534112774977868,0.7434335146676585,0.29778325029461505,1.3215406670109542,-0.32304549982186453,-0.044679017846334504,0.0349007162203587,0.0006467446905013445,0,0,0,0,0,0,0
1256,-0.19112373347235287,-0.3347623641992149,-0.5472957810504966,-0.15405602032280577,1.1774983031942108,0.40355995435376407,-0.07157172946735184,-0.08560975596989129,-0.0010741397454685925,0,0,0,0,0,0,0
2059,0.09279763364633123,0.030280837005339536,0.6790113604337814,0.6156149066464539,-0.49151226041420604,0.11341381134270251,0.18009448622643393,-0.1315331442072635,-0.0003555342339952514,0,0,1,1,0,0,0
1111,-0.44448382367024,0.79053966176253,0.22518880266016286,1.3924100655577831,-1.005900599398006,0.925946812021427,-0.09848676534017464,0.04549262697938565,-0.002054127123782455,0,0,1,1,1,1,1
1073,0.33948498752082745,-0.3209387677466439,-1.2850592733295259,0.41812961577354957,0.8712663419487764,0.012500134520565016,-0.08752464007613187,-0.13247106796339247,-0.0010125091452486217,0,0,0,0,0,0,0
1870,-1.2481379193139484,-0.0668702190408842,-0.3815704898914436,0.8105040495226746,0.9976696551358566,-0.1299786640752329,-0.05537894265505991,-0.026759820846997556,-0.0017845313589033504,0,0,0,0,0,0,0
593,0.525985882541353,1.0646557133129084,0.33663158011306493,0.4631973838472835,-0.7536270487018392,1.3858341686121132,-0.07752218788026133,-0.03964805884556573,0.0009960538398236934,1,0,1,0,1,1,1
1345,0.3729151377064969,1.8711323910230058,0.7921848462900225,-0.48381766182675157,-0.15615470096272846,0.8067265543295814,0.006356523909719256,0.0368528745175895,0.00048237036127808924,0,0,1,0,1,1,1
808,-0.11001837069322186,0.27864032111434206,-0.5307505336026992,-0.09598817876642096,-0.35070964652767395,-0.29275494782861705,0.022433221440865077,-0.06423979718252008,0.0016059559745333365,1,0,1,1,1,1,0
2044,0.0027590024479347062,0.2652403997094737,0.8463991019741827,0.6297029966715241,-0.459649379792238,0.07476897882781157,-0.044171484230787816,0.07656013658301945,0.0013086110431490157,0,0,1,1,1,1,0
1411,-0.6824529521393617,-0.11552444957658815,-0.26927217605055526,-0.18123111473920236,-0.28057396180114513,-0.1522454185133901,0.029038488546264424,0.019759954551528604,0.00020173709886375245,1,0,1,1,0,0,0
1510,-0.5082190246797353,0.650986547928278,0.6151591184180919,-1.1446142439821962,0.1767974860325887,0.3409716909100596,0.17679116697150066,0.05413123886640958,-0.0018425995467404278,0,0,0,0,1,1,1
1655,0.7256548090568885,0.2567098742890966,-1.2138465641888878,0.15590740372046574,-0.057667339465207364,-0.3108498426546818,0.029161703710794868,-0.0287397104057943,-0.0003575863758381429,1,0,1,1,1,0,0
160,1.041600305463537,-1.8074641369931148,0.35669734768421535,-0.030310300621403087,0.2755864032332915,-0.5144660068710815,0.011955815808758744,0.010227771719415671,0.0009754526932808502,0,0,0,0,0,0,0
1275,0.2913072486066806,1.6913160512263627,-0.09173814990003948,0.05738450265731779,1.2843341741828393,0.006929401714398336,-0.1569067938226764,-0.03792957380470894,0.001668109041402009,0,0,0,0,1,1,1
883,-0.6426871569095101,-0.12645237088279657,-0.6620519105605097,0.34055797720549935,-0.4903100476958986,-0.4671365630461643,0.11292435189436728,-0.12596360078082966,0.0006759497170016194,1,0,1,1,0,0,0
2479,1.7039907011128077,-0.5550080840846512,0.10938645983623041,0.3984795285073658,-0.6197567010003127,-1.2603064652198708,0.04254458042797467,0.22356084367610626,-0.0012220581272032983,0,0,1,1,0,0,0
1146,-1.031373424760528,0.2622220282159976,-0.2828666865841224,0.5117749454237721,0.07482996112831221,-0.3936890041808403,-0.011200243492191553,0.055843296026647726,-0.0012172367109786226,1,0,1,1,1,1,0
1096,-0.1770596462234828,-0.1696726343853499,-0.3042959171362819,-0.6606285700734608,-0.17651540331446655,0.1063925081585294,0.03663863143405322,-0.10044547066756015,-0.0013914087405839054,1,0,0,0,0,0,0
874,-0.42980787716821145,0.29144957708714136,0.42447614678587847,-1.1677281360762848,0.11960512573017928,0.37596529246558846,-0.09966009801288317,-0.06878743622544733,-0.0032300236458694593,0,0,0,0,1,1,0
663,-0.20479205977583184,-0.228163767229308,0.053605294673907136,-1.1857995264269585,0.021925095018293737,0.42833042765447216,-0.0856114657374845,0.11426752585401043,-0.0025215606094722964,0,0,0,0,0,0,0
1056,-0.7665717842363464,0.4268219916334829,0.00974767748968122,-0.14538960202496284,-0.21138375655270894,-0.23119356373966204,-0.03342635531343802,-0.0029902095291421365,-0.0009280226069743427,1,0,1,1,1,1,1
2068,0.2587536555844577,0.9756478631786563,-0.13146112937310483,-0.6099185864592723,-0.3800326301843737,-0.19007692462735098,-0.07428001662476647,0.08292173014786404,0.0021495438916745084,0,0,1,1,1,1,1
2753,0.5359736474078127,0.8609661869520809,0.9865670805299005,0.37951349735337686,0.1602039781713552,0.31449689698627914,-0.07047470011223055,-0.04041000068490078,-0.0004905332392586185,0,0,1,0,1,1,1
1793,-1.574302560903475,0.15475600797726885,0.11751727495673786,0.2757611447398449,-0.2734169926865797,-0.36959702760732793,0.4796832032212894,-0.01587854138321056,0.0007942422008158315,0,0,1,1,0,1,1
878,1.433917724877607,0.7686240277798929,-0.7474084187463418,-0.9519883173723913,-0.19227351854091437,0.04739285966599912,-0.0967232410243305,-0.09355166832567884,-0.0007783745765430049,0,0,1,1,1,0,1
984,-0.1242584918128795,1.726218360488532,0.41047769152134794,-0.4999025521639704,0.0018577518915226727,-0.20750543566597895,0.03710317845824942,0.0069081145145343,0.0028575306386764256,0,0,1,1,1,1,1
968,-1.2496809925497607,-0.06638488656505644,-0.3831490238086083,0.8102009197608615,1.0003576746302925,-0.1257681463027424,0.027346606221459607,-0.029696381118064913,0.00017295403279532829,1,0,0,0,0,0,0
1039,-0.7390352886848371,0.4171876082824443,-0.20233548611835012,0.3767360082558898,1.15134275069119,0.03633546600387651,-0.13285622684457635,-0.055724995798454795,-0.0018815010907081914,0,0,0,0,1,1,1
1242,-0.33754406298562034,-0.8622396829340447,-0.10170629201385664,-1.2526764854864223,-0.013510378043952226,0.5502421193583492,-0.0851378054083301,-0.06494254259707564,-0.0026801079300557036,0,0,0,0,0,0,0
2345,1.203721330395183,-1.77801501859982,0.579919444724185,0.46516292421113914,-0.03316966928390557,0.24883483071549456,0.013022070985187957,0.004412347714188861,-0.004436056656621755,0,0,0,0,0,0,0
1667,-0.16183688748967373,0.13471700804115264,-0.5486390166096026,-0.11184830610344461,-0.3568204468013293,-0.26484455065894386,-0.01590295974459719,-0.018210326718016315,-0.001329365304056334,1,0,1,1,0,0,0
682,-0.7267695806384415,0.5205917970700721,0.017938929818089866,-0.13431434799640912,-0.20941998372547,-0.25157664894632065,-0.03515529950016946,-0.025169216523901965,-0.0007174928936311078,0,0,1,1,1,1,1
1069,1.209014661271237,0.3993977215692694,-1.2758340359288727,0.041908986306769,0.9761953219259398,0.09109461719394908,-0.13124721340941609,0.11006847207198038,-0.0013563953439905407,0,0,0,0,1,1,1
1314,0.08667614648331133,0.626220741639368,-0.5353678362587823,-0.0492759420834594,-0.35441056768600315,-0.3766458359880328,-0.006663280619479202,-0.08436233954016807,0.0031042222940498654,1,0,1,1,1,1,1
192,2.3448567369841453,0.008729146867308458,0.5785210548536179,-0.5405194041503645,-0.27462627142900636,-0.8043541123604863,0.000967454942987965,0.001387344706391825,-0.00107112883810213,0,0,1,1,0,0,0
1239,0.7641999192821263,0.041418563993408916,-1.2603661392681345,-0.02766916222746756,-0.5493233854142643,-0.37891889070627793,-0.05085024819192382,0.2183349356006584,-0.00020101883428064494,0,0,1,1,0,0,0
