,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,W3IWER4_A
331,-0.580500441768933,-0.13798686133974017,-0.13237948150014534,0.13210708091409243,-0.04676780575495748,-0.007900148841002503,0.001915789787152241,-0.0036964698728169758,-0.0017089156870784218,0
321,-1.1095132174791922,-0.3775325487656008,0.535626474641776,0.23151352959078816,-0.017283773401592546,-0.013920191388853264,0.015356455192551882,0.0014761592805641378,-0.00016938076008114088,0
17,-0.369309435531884,0.04238320279779126,-0.09089061899716765,-0.2381270763296332,0.11333006011421465,-0.005305615053685992,-0.00778131526784232,0.009354645847347295,0.0021550557538332167,0
25,-0.30739209355613684,-0.2594548623123138,-0.7146738272772731,0.6041818257660232,-0.028832213461334456,-0.008874415504424533,0.005093570364998785,-0.0022820704709304715,-0.0023620821940128944,0
376,1.3840904858777998,-0.8049776526631057,-0.11230337284324365,-0.268477108005719,0.015564157541770108,-0.0141992827880391,0.002841061377682976,0.00015031291753756434,-3.72025818715526e-05,0
10,-0.08636737845399346,0.2055761795777272,-0.6718088288689943,-0.20955710901160368,-0.0804783803609088,0.0009214802408552178,-0.01793221894846795,0.0017479951777134612,-0.00011694191593002341,0
386,2.0421547784592033,-1.5971792152445676,0.2738821332994466,-0.007526385393637239,-0.012329090099981484,-0.0024200860669722777,-0.0018328148259073856,0.001501020781983484,-0.0007834278427790686,0
460,1.294128273867522,-0.6990882704609055,-0.1651974955033034,-0.3029521133407348,0.02050174136066593,-0.012195770866899382,0.0049113071190329954,-0.00024506679766910205,0.0006465209508274984,0
40,-0.8884165732503584,-0.14023315646494697,0.3740037534309554,-0.10198097222689181,-0.04327003919881843,-0.009477699042823572,0.004696737491461204,0.00416220006536475,0.0008780212053190717,0
337,-0.25021262933458394,-0.2907866051167959,-0.7564079057305708,0.6705030891668786,0.03345843831847644,-0.008364225187211314,0.004765809661097075,0.000552418015209198,-0.0004842753625480966,0
78,-0.9847875506737802,-0.09717513223390692,0.5642995295959843,-0.2682772747060858,-0.04460103000368248,-0.010830639866915263,0.01032621924870219,0.014062759131244182,-0.0012982633516202928,0
332,-0.27121110599488135,0.06089066740076604,-0.5132092618938054,-0.037574449997485104,-0.05692408217509168,-0.0007890596187288576,-0.012758224258823852,0.01122197906747517,0.002774106315188759,0
441,2.442662054973221,-2.0824548265330516,0.5091546059449851,0.15459109126005477,-0.02874519422114872,0.009407472869760698,-0.0035919196273271545,0.0003022556168918008,-2.979510236328206e-05,0
327,-0.47527669689977453,0.12000262886928656,-0.07708313290714584,-0.3343624103139482,-0.07611957351319779,-0.0030094546896615683,-0.009844385897827634,-0.0016667090788606911,-0.0004925913539737288,0
22,-1.098372835599777,-0.34062478583340766,0.5488045509495284,0.1818129830642062,-0.02120478387050331,-0.005563619899407846,-0.0006318017564505052,-0.007167141397228072,-0.001989120972056748,0
348,-0.33427449657766556,-0.10562512087433018,-0.5187597261424743,0.24810549742792914,-0.05011826648275041,-0.008938786970468522,0.003641062144783688,-0.0021628642540637353,-0.0018001307145695505,0
60,-0.314888178198473,-0.23912361979326308,-0.7183035696497502,0.5877057927750013,-0.02031432319436577,0.0023538673288749537,-0.016202296344541872,-0.00043066126976299774,-0.0014868351616310535,0
65,-0.8122917232891649,-0.0512808949014375,0.5929321344273755,-0.4274142065400645,0.1173106120068044,-0.024810394252570103,0.0329895166256078,0.02078141982530896,-0.004161757592665305,0
