,COUNTY,P17_A,W1AGE,WWWBLACK,W1STATE,STRATA,F3,CD2,P1,X1,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
2033,-0.41868587644619093,0.7142857142857144,-0.7575757575757575,1,-0.4181818181818182,0.0,-0.33333333333333326,0.8181818181818183,-1.0,-0.9183673469387755,0,0,0,0,0,0,0
1150,0.4915229571418174,0.7142857142857144,-0.9696969696969696,-1,0.49090909090909074,1.0,1.0,0.9696969696969697,-0.5,-0.9591836734693877,1,0,0,1,0,0,0
1282,0.31084915957214565,-0.9999999999999999,-0.48484848484848464,-1,0.3090909090909091,1.0,1.0,0.48484848484848486,-1.0,-0.9795918367346939,0,0,0,1,0,0,0
1206,-0.4171578258022267,-0.9999999999999999,-0.15151515151515138,-1,-0.4181818181818182,1.0,0.3333333333333335,0.1515151515151516,-1.0,-0.9795918367346939,1,0,0,1,1,0,0
1172,0.38193989667467054,-0.1428571428571428,-0.09090909090909083,-1,0.38181818181818183,1.0,0.3333333333333335,0.09090909090909083,-1.0,-0.9591836734693877,1,0,0,1,1,0,0
258,0.2355380921196244,0.7142857142857144,-0.7878787878787877,-1,0.23636363636363633,-1.0,-0.33333333333333326,0.7878787878787881,-1.0,-0.9183673469387755,0,0,1,1,0,0,0
393,-0.08644400785854633,-0.1428571428571428,-0.606060606060606,1,-0.09090909090909094,0.0,-0.33333333333333326,0.606060606060606,-0.5,-0.9591836734693877,1,0,0,0,0,0,0
960,-0.7107618423924909,-0.1428571428571428,0.36363636363636376,-1,-0.7090909090909091,1.0,-0.33333333333333326,-0.36363636363636376,-1.0,-0.9387755102040817,0,0,0,1,1,0,0
877,0.12602779596885672,-0.9999999999999999,0.6060606060606064,-1,0.1272727272727272,1.0,-0.9999999999999999,-0.6060606060606061,-1.0,-0.9591836734693877,1,0,0,1,1,0,0
947,-0.16401076911882428,-0.9999999999999999,0.666666666666667,-1,-0.1636363636363637,1.0,-0.33333333333333326,-0.6666666666666667,-1.0,-0.9387755102040817,0,0,0,1,1,0,0
1944,-0.0558829949792623,-0.9999999999999999,-0.6666666666666665,-1,-0.054545454545454564,1.0,0.3333333333333335,0.7272727272727271,0.0,-0.9387755102040817,1,0,0,1,0,1,1
1950,-0.562104344029688,1.0,-0.33333333333333326,1,-0.5636363636363637,0.0,-0.9999999999999999,0.39393939393939403,-0.5,-0.9387755102040817,0,0,1,0,0,0,0
2501,-0.5985956486938806,-0.1428571428571428,-0.6363636363636362,-1,-0.6000000000000001,-1.0,-0.33333333333333326,0.6969696969696968,1.0,-0.9795918367346939,0,0,1,1,0,1,1
3087,0.27453976569890104,-0.1428571428571428,0.7878787878787881,-1,0.2727272727272727,1.0,-0.33333333333333326,-0.7272727272727273,-1.0,-1.0,0,0,0,1,1,0,0
1387,-0.2013388634213783,0.7142857142857144,-0.8484848484848484,-1,-0.20000000000000007,1.0,1.0,0.8484848484848486,-1.0,-0.9591836734693877,0,0,0,1,0,0,0
820,0.48999490649785327,0.7142857142857144,0.21212121212121238,1,0.49090909090909074,1.0,0.3333333333333335,-0.21212121212121215,-1.0,-0.9387755102040817,1,0,0,0,1,0,0
1115,-0.5981954449537947,-0.9999999999999999,-0.45454545454545436,-1,-0.6000000000000001,1.0,0.3333333333333335,0.4545454545454546,-1.0,-0.9387755102040817,1,0,0,1,0,0,0
1998,-0.08644400785854633,-0.9999999999999999,-0.5151515151515151,1,-0.09090909090909094,0.0,-0.33333333333333326,0.5757575757575757,-1.0,-0.9591836734693877,0,0,0,0,0,0,0
1691,-0.08942734483009551,-0.1428571428571428,-0.6666666666666665,-1,-0.09090909090909094,1.0,0.3333333333333335,0.7272727272727271,-0.5,-0.9387755102040817,1,0,0,1,0,0,0
1458,0.5627592228771008,0.7142857142857144,-0.8484848484848484,-1,0.5636363636363635,1.0,0.3333333333333335,0.8484848484848486,-1.0,-0.9387755102040817,0,0,0,1,0,0,0
2714,0.4934148293676779,-0.1428571428571428,0.12121212121212133,-1,0.49090909090909074,0.0,-0.9999999999999999,-0.06060606060606055,-1.0,-0.9183673469387755,0,0,1,1,1,0,0
1971,-0.41868587644619093,-0.9999999999999999,0.21212121212121238,1,-0.4181818181818182,0.0,-0.33333333333333326,-0.1515151515151516,-1.0,-0.9387755102040817,0,0,0,0,1,0,0
920,0.4945790584297458,-0.9999999999999999,-0.5454545454545454,-1,0.49090909090909074,1.0,-0.33333333333333326,0.5454545454545454,-1.0,-0.9795918367346939,1,0,0,1,0,0,0
1176,0.7153459943243832,-0.1428571428571428,-0.5151515151515151,-1,0.709090909090909,1.0,0.3333333333333335,0.5151515151515151,-1.0,-0.9795918367346939,0,0,0,1,0,0,0
1903,0.7212399039511022,-0.9999999999999999,-0.06060606060606055,-1,0.709090909090909,1.0,-0.9999999999999999,0.1212121212121211,-1.0,-0.9795918367346939,0,0,0,1,1,0,0
1874,0.38521429091173665,-0.9999999999999999,-0.33333333333333326,-1,0.38181818181818183,1.0,0.3333333333333335,0.39393939393939403,-1.0,-0.9795918367346939,0,0,0,1,0,0,0
311,-0.14658371534599446,0.7142857142857144,-0.48484848484848464,1,-0.1636363636363637,0.0,1.0,0.48484848484848486,-0.5,-0.9183673469387755,1,0,0,0,0,0,0
