,COUNTY,WWWRACE4,WWWAGEC1,W1STATE,HISWT1RV,STRATA,CENSDIV,CL2,WWWEDU3,RHWT2CC,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
444,-0.16393800480244503,-0.9999999999999999,-0.33333333333333326,-0.1636363636363637,-0.9638878268488825,0.0,0.29032258064516125,0.1428571428571428,0.0,-1.0,0,0,1,1,0,1,1
211,0.7258240558829947,-0.9999999999999999,0.0,0.709090909090909,-0.9957216283227323,-1.0,0.41935483870967727,0.1428571428571428,1.0,-1.0,0,0,1,1,0,1,1
569,0.9663828858327874,-0.9999999999999999,-0.33333333333333326,0.9636363636363636,-0.8005932076001369,1.0,-0.3548387096774195,0.1428571428571428,0.0,-1.0,0,0,1,1,0,1,1
1243,-0.5974678017900024,-0.9999999999999999,-0.33333333333333326,-0.6000000000000001,-0.5049863323615102,1.0,0.29032258064516125,-0.9999999999999999,0.0,-0.914848529025618,0,0,1,0,0,1,1
780,0.6781634286545877,-0.9999999999999999,0.33333333333333326,0.6727272727272726,-0.49343260983256954,1.0,0.35483870967741926,-0.9999999999999999,0.0,-1.0,0,0,1,0,0,1,1
779,0.6755439132649346,-0.9999999999999999,-0.6666666666666666,0.6727272727272726,-0.6475498607222696,1.0,0.35483870967741926,0.1428571428571428,1.0,-0.9427554620512149,0,0,1,0,0,1,1
2076,0.7131630648330056,0.3333333333333335,0.33333333333333326,0.709090909090909,-1.0,-1.0,0.41935483870967727,-0.9999999999999999,0.0,-0.9359618883294626,1,0,1,1,0,1,1
1744,-0.054209415702539676,-0.9999999999999999,0.33333333333333326,-0.054545454545454564,-1.0,1.0,-0.29032258064516125,-0.9999999999999999,1.0,-0.975270494697451,1,0,1,0,0,1,1
144,0.7158553445390379,-0.9999999999999999,0.9999999999999998,0.709090909090909,-0.9541500654051123,-1.0,0.41935483870967727,-0.9999999999999999,0.0,-1.0,0,0,1,1,0,1,1
898,-0.23604744233427943,-0.9999999999999999,0.0,-0.23636363636363644,-0.1217662561979751,1.0,0.41935483870967727,-0.9999999999999999,0.0,-0.793656094757398,0,0,1,0,0,1,1
1429,0.3133959106454194,-0.33333333333333326,0.0,0.3090909090909091,0.14728295981056294,1.0,0.29032258064516125,0.1428571428571428,0.0,-1.0,0,0,1,0,0,1,1
2033,-0.41868587644619093,-0.33333333333333326,-0.6666666666666666,-0.4181818181818182,-1.0,0.0,-0.3548387096774195,0.1428571428571428,0.0,-0.9948718191028677,0,0,1,1,0,1,1
1150,0.4915229571418174,-0.9999999999999999,-1.0,0.49090909090909074,0.052091434328255914,1.0,-0.935483870967742,0.1428571428571428,1.0,-0.81900943434563,1,0,0,0,0,1,1
1282,0.31084915957214565,-0.9999999999999999,-0.33333333333333326,0.3090909090909091,-0.3111769944530124,1.0,0.29032258064516125,0.1428571428571428,1.0,-0.8881221759145372,0,0,1,0,0,1,1
1206,-0.4171578258022267,-0.9999999999999999,0.0,-0.4181818181818182,-0.703496848080305,1.0,-0.3548387096774195,0.1428571428571428,0.0,-0.9545118442598629,1,0,1,1,0,1,1
1172,0.38193989667467054,-0.9999999999999999,0.33333333333333326,0.38181818181818183,-0.7294182413570176,1.0,-0.3548387096774195,0.1428571428571428,1.0,-0.9616373654481328,1,0,0,0,0,1,1
258,0.2355380921196244,0.3333333333333335,-0.6666666666666666,0.23636363636363633,-0.9888621867693825,-1.0,0.9354838709677418,-0.9999999999999999,0.0,-1.0,0,0,1,1,0,1,1
393,-0.08644400785854633,-0.33333333333333326,-0.33333333333333326,-0.09090909090909094,-0.9972069681234674,0.0,-0.3548387096774195,-0.9999999999999999,1.0,-0.9979715418864644,1,0,1,1,0,1,1
960,-0.7107618423924909,-0.9999999999999999,0.9999999999999998,-0.7090909090909091,-0.36194930597469543,1.0,-1.0,-0.9999999999999999,1.0,-0.8902365780579089,0,0,0,0,0,1,1
877,0.12602779596885672,-0.9999999999999999,0.9999999999999998,0.1272727272727272,-0.4765390598186332,1.0,0.9354838709677418,-0.9999999999999999,0.0,-0.8984996218465885,1,0,1,0,0,1,1
947,-0.16401076911882428,-0.9999999999999999,0.9999999999999998,-0.1636363636363637,-0.42206591716626685,1.0,0.29032258064516125,-0.9999999999999999,0.0,-0.8839127745891938,0,0,1,0,0,1,1
1944,-0.0558829949792623,-0.9999999999999999,-0.33333333333333326,-0.054545454545454564,-1.0,1.0,-0.29032258064516125,-0.9999999999999999,1.0,-0.8334584724964188,1,0,1,0,0,1,1
1950,-0.562104344029688,-0.33333333333333326,0.0,-0.5636363636363637,-1.0,0.0,0.29032258064516125,0.1428571428571428,0.0,-0.9311921897501267,0,0,1,1,0,1,1
2501,-0.5985956486938806,0.3333333333333335,-0.33333333333333326,-0.6000000000000001,-1.0,-1.0,0.29032258064516125,-0.9999999999999999,0.0,-0.9986677088093089,0,0,1,1,0,1,1
3087,0.27453976569890104,-0.9999999999999999,0.9999999999999998,0.2727272727272727,-1.0,1.0,-0.935483870967742,0.1428571428571428,0.0,-0.7595712843600837,0,0,0,1,0,1,1
1387,-0.2013388634213783,-0.9999999999999999,-0.6666666666666666,-0.20000000000000007,-0.2618484630409629,1.0,-1.0,0.1428571428571428,0.0,-1.0,0,0,1,1,0,1,1
820,0.48999490649785327,-0.33333333333333326,0.6666666666666667,0.49090909090909074,0.036615864267082854,1.0,-0.935483870967742,-0.9999999999999999,0.0,-0.7656643784244315,1,0,0,0,0,1,1
1115,-0.5981954449537947,-0.9999999999999999,-0.33333333333333326,-0.6000000000000001,-0.7110329585833238,1.0,0.29032258064516125,-0.9999999999999999,0.0,-0.9419563872945969,1,0,1,0,0,1,1
1998,-0.08644400785854633,-0.33333333333333326,-0.33333333333333326,-0.09090909090909094,-1.0,0.0,-0.3548387096774195,0.1428571428571428,0.0,-0.9948718191028677,0,0,1,1,0,1,1
1691,-0.08942734483009551,-0.9999999999999999,-0.33333333333333326,-0.09090909090909094,-1.0,1.0,-0.3548387096774195,0.1428571428571428,1.0,-0.9642306653353704,1,0,1,0,0,1,1
1458,0.5627592228771008,-0.9999999999999999,-0.6666666666666666,0.5636363636363635,1.0,1.0,-1.0,0.1428571428571428,1.0,-1.0,0,0,0,0,0,0,1
2714,0.4934148293676779,1.0,0.33333333333333326,0.49090909090909074,-1.0,0.0,-0.935483870967742,-0.9999999999999999,-1.0,-0.9933351717862882,0,0,1,0,1,1,1
1971,-0.41868587644619093,-0.33333333333333326,0.6666666666666667,-0.4181818181818182,-1.0,0.0,-0.3548387096774195,0.1428571428571428,0.0,-0.7719489739429468,0,0,1,1,0,1,1
920,0.4945790584297458,-0.9999999999999999,-0.33333333333333326,0.49090909090909074,-0.41754781804705854,1.0,-0.935483870967742,0.1428571428571428,0.0,-0.9056072969156421,1,0,1,1,0,1,1
1176,0.7153459943243832,-0.9999999999999999,-0.33333333333333326,0.709090909090909,-0.25960687923626613,1.0,0.41935483870967727,-0.9999999999999999,0.0,-0.9025862355095722,0,0,1,0,0,1,1
1903,0.7212399039511022,-0.9999999999999999,0.33333333333333326,0.709090909090909,-1.0,1.0,0.41935483870967727,0.1428571428571428,0.0,-0.9347717260309787,0,0,1,1,0,1,1
1874,0.38521429091173665,-0.9999999999999999,0.0,0.38181818181818183,-1.0,1.0,-0.3548387096774195,0.1428571428571428,1.0,-0.9397665555436129,0,0,0,0,0,1,1
