,W2TOTCL,W2FIPCOM,W2CIVLIB,CENSDIV,W12AGEC1,WWWAGE,W1STATE,W1AGE,AGE3039,COMPLET2,WWWSEX,CENSREGN,RACWT1RV,WWWMALE,W1FIPCOM,W2SECURE,WWWAGEC1,W12OTHET,EDUCAT4,WWWEDU3,W1TRUAM3,IMPHISP,USAWT2CC,W12BLACK,WWWHISP,RAC3,WWWEDU5,AGE65PLM,WWWBRNUS,W12EDUC3,USAWT1RV,RACES,W1AGECAT,WWWWHITE,WWWBLACK,W12RACE4,WWWRACE3,NEWRACE,W12SEX,W1TRUAM2,USAWT2RC,AGE4049M,MULT3,WWWRACE4,AGE6064M,RHWT2RC,IMPRACE,HISWT1RV,W2MISSCL,COMPLET3,W12HISP,RHWT2CC,WWWHOMLN,USAWT2NC,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
2417,1.0000000000000002,0.4285714285714285,-0.2727272727272727,0.29032258064516125,0.0,-0.22666666666666657,-0.6000000000000001,-0.22666666666666657,-1.0,-1.0,-1,0.3333333333333335,-1.0,1,-1.0,0.4545454545454546,0.0,-1.0,1.0,1.0,-1.0,-0.9999999999999999,-0.999341911219693,-1.0,1,-1.0,0.5,-1.0,-1.0,1.0,-1.0,-0.9999999999999999,0.0,-1,-1,0.3333333333333335,-1,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.3333333333333335,-1.0,-1.0,-1.0,-1.0,-0.8181818181818181,-1.0,1.0,-0.999155867043798,-1.0,-0.9993390493570695,0,0,0,1,0,0,0
1260,1.0000000000000002,0.9999999999999999,0.2727272727272727,0.41935483870967727,0.33333333333333326,0.09333333333333349,0.709090909090909,0.09333333333333349,-1.0,-1.0,1,0.3333333333333335,-0.9142069650975225,-1,0.9999999999999999,-0.09090909090909083,0.33333333333333326,-1.0,1.0,1.0,-1.0,0.1428571428571428,-0.918680169078938,-1.0,-1,-1.0,1.0,-1.0,1.0,1.0,-0.8163031013306905,-0.9999999999999999,0.33333333333333326,1,-1,-0.9999999999999999,-1,-1.0,1.0,-0.6,-0.7958998955630757,-1.0,1.0,-0.9999999999999999,-1.0,-0.7958998955631759,-1.0,-0.8163031013304949,-0.8181818181818181,-1.0,-1.0,-0.9550505852118503,-1.0,-1.0,1,0,1,1,0,1,1
2741,0.4545454545454546,0.4285714285714285,-0.09090909090909083,0.29032258064516125,0.33333333333333326,0.01333333333333342,-0.6363636363636365,0.01333333333333342,-1.0,-1.0,1,0.3333333333333335,-1.0,-1,-1.0,-0.2727272727272727,0.33333333333333326,-1.0,1.0,1.0,-1.0,0.1428571428571428,-0.9890790696059248,1.0,-1,0.0,1.0,-1.0,1.0,1.0,-1.0,-0.5999999999999999,0.33333333333333326,-1,1,-0.33333333333333326,0,0.0,1.0,-1.0,-1.0,-1.0,1.0,-0.33333333333333326,-1.0,-1.0,0.0,-1.0,-0.2727272727272727,-1.0,-1.0,-0.9862970039215954,-1.0,-0.9902351001037568,0,0,1,1,1,1,1
1831,0.8181818181818183,0.9999999999999999,-0.09090909090909083,-0.935483870967742,-1.0,-0.8666666666666666,0.49090909090909074,-0.8666666666666666,-1.0,-1.0,1,-0.9999999999999999,-1.0,-1,-1.0,0.09090909090909105,-1.0,-1.0,0.3333333333333335,0.0,-1.0,0.1428571428571428,-0.8294504425363631,-1.0,-1,-1.0,0.0,-1.0,1.0,0.0,-1.0,-0.9999999999999999,-1.0,1,-1,-0.9999999999999999,-1,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-0.6363636363636362,-1.0,-1.0,-0.9057289874618247,-1.0,-0.8300606377330197,0,0,1,1,0,0,1
443,-1.0,-1.0,-1.0,-0.29032258064516125,-0.33333333333333326,-0.6,0.018181818181818077,-0.6,1.0,1.0,-1,-0.33333333333333326,-0.8840248269944742,1,0.4285714285714285,-1.0,-0.33333333333333326,-1.0,-0.9999999999999999,-1.0,0.5,0.1428571428571428,-1.0,1.0,-1,0.0,-1.0,-1.0,1.0,-1.0,-0.8840248269942785,-0.5999999999999999,-0.33333333333333326,-1,1,-0.33333333333333326,0,0.0,-1.0,0.6000000000000001,-1.0,-1.0,1.0,-0.33333333333333326,-1.0,-1.0,0.0,-0.884024826994313,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1,0,0,0
3072,1.0000000000000002,0.7142857142857141,-0.09090909090909083,-1.0,-0.33333333333333326,-0.43999999999999995,-0.7090909090909091,-0.43999999999999995,1.0,-1.0,1,-0.9999999999999999,-1.0,-1,-1.0,0.2727272727272727,-0.33333333333333326,-1.0,1.0,1.0,-1.0,0.1428571428571428,-0.9060446257208189,-1.0,-1,-1.0,0.5,-1.0,1.0,1.0,-1.0,-0.9999999999999999,-0.33333333333333326,1,-1,-0.9999999999999999,-1,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-0.8181818181818181,-1.0,-1.0,-0.9480663075388911,-1.0,-0.906880527627215,1,0,1,1,0,1,1
1642,1.0000000000000002,0.9999999999999999,0.8181818181818183,0.9999999999999998,0.9999999999999998,0.52,-0.8181818181818182,0.52,-1.0,1.0,1,1.0,-1.0,-1,-1.0,-0.6363636363636362,0.9999999999999998,-1.0,1.0,1.0,-1.0,0.1428571428571428,-0.8548859302328924,-1.0,-1,-1.0,0.5,1.0,1.0,1.0,-1.0,-0.9999999999999999,0.9999999999999998,1,-1,-0.9999999999999999,-1,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-0.8181818181818181,1.0,-1.0,-0.9197884152036367,-1.0,-0.8552070467202031,1,0,1,0,1,1,1
2742,0.8181818181818183,0.4285714285714285,0.4545454545454546,-0.935483870967742,0.9999999999999998,0.5733333333333337,0.49090909090909074,0.5733333333333337,-1.0,1.0,-1,-0.9999999999999999,-1.0,1,-1.0,-0.4545454545454545,0.9999999999999998,-1.0,1.0,1.0,-1.0,0.1428571428571428,-0.9940798988843211,1.0,-1,0.0,0.5,1.0,1.0,1.0,-1.0,-0.5999999999999999,0.9999999999999998,-1,1,-0.33333333333333326,0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.33333333333333326,-1.0,-1.0,0.0,-1.0,-0.6363636363636362,1.0,-1.0,-0.9925717755314414,-1.0,-0.9958062813297786,0,0,1,0,1,1,1
3189,1.0000000000000002,0.9999999999999999,0.4545454545454546,-0.3548387096774195,0.33333333333333326,0.01333333333333342,0.38181818181818183,0.01333333333333342,-1.0,-1.0,-1,-0.33333333333333326,-1.0,1,-1.0,-0.2727272727272727,0.33333333333333326,-1.0,0.3333333333333335,0.0,-1.0,0.1428571428571428,-0.6965524491709931,-1.0,-1,-1.0,0.0,-1.0,1.0,0.0,-1.0,-0.9999999999999999,0.33333333333333326,1,-1,-0.9999999999999999,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-0.8181818181818181,-1.0,-1.0,-0.8322698206063763,-1.0,-0.6943575301775993,1,0,1,1,0,1,1
928,-1.0,-1.0,-1.0,0.35483870967741926,0.0,-0.19999999999999996,-1.0,-0.19999999999999996,-1.0,-1.0,1,0.3333333333333335,-0.8071737539886378,-1,0.4285714285714285,-1.0,0.0,-1.0,0.3333333333333335,0.0,0.0,0.1428571428571428,-1.0,-1.0,-1,-1.0,0.0,-1.0,1.0,0.0,-0.5871275166498218,-0.9999999999999999,0.0,1,-1,-0.9999999999999999,-1,-1.0,1.0,0.20000000000000018,-1.0,1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.5871275166497234,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1,0,0,0
