,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,W3IWER4_A
216,-0.2634443513355405,0.06042054353921016,-0.7287723423587849,0.06009952698018769,0.002723768354020933,0.00035049242692145776,-0.001843578816981436,-0.004268789397000704,-0.0006023435613267733,0
332,0.6031275990676781,-0.5085454789121002,-0.5233507727188158,-0.03954000991333586,-0.0048936291502483555,0.00355660210829651,-0.0003952633569864201,0.0014357962743121683,-0.0002059833554761356,0
276,0.15844047359665323,-0.19733209430251858,-0.7142578694414733,-0.05253111445243776,-0.011068407867684704,-0.0008246448001110946,-0.005842109300673911,-0.0017265808573264279,-0.0010985035608286821,0
343,0.15785836120719202,-0.19897916332463902,-0.7147744564686573,-0.05178534068636082,-0.010483908996555403,-0.0007726307071744105,-0.003791958458380351,-0.0019487810994517666,-0.0008226358654630836,0
266,-1.008274451920082,-0.15713246767113456,0.669758159496393,-0.006890834207713782,-0.003971797447217483,0.0044915376289191775,0.00682542243323775,-0.006023769600531279,0.0021769500692114694,0
21,-0.2120609879187547,0.06659261824999269,-0.8247689517956004,0.05549031962897946,-0.0016505521208937364,-0.0041907466649371145,0.007468873641132878,0.005813795766279312,-0.00048391147646153717,0
355,2.8739146143977385,-2.081237151490976,0.453300724374747,0.01933069926302002,0.0028754819299550037,-0.001073299135532747,0.0016532980520409914,-0.001936020032672548,0.0002601892046114011,0
52,-0.2624895544552537,0.06633571583613143,-0.7274151164416156,0.0552609211083849,0.00021157631024645106,0.010264759376242234,-0.0015668350189453634,0.001153926140481615,-0.00019545608752263882,0
244,-0.6588801770855336,-0.06638694204455943,-0.021594266147758064,-0.02905598788764422,0.008840293263245244,-0.007047603230240366,-0.0028025825235682023,-0.0030912537411315966,-0.0003275187762092522,0
337,0.28288113126839143,-0.2849582300874834,-0.6608966813203146,-0.04876144159794942,-0.008701879347664577,0.0012400104775382244,-0.003571756935234216,-0.0003988834953233192,-0.000732173556140544,0
290,2.240209225232964,-1.641582277912518,0.1808756127649089,0.003326579279347241,0.0012205209172413594,-4.8288998440488153e-05,0.00025076331340261954,0.000231931254297739,5.988940168792557e-05,0
61,-0.4066510158141583,0.01369291620863589,-0.4738487844091875,0.023841721399671806,0.004266030987394086,-0.0033471222260006562,-0.0023976227960353117,-0.0036691941823425453,-0.0003789020876553256,0
292,1.171061834306907,-0.9024096542729283,-0.27915195824295796,-0.02466690546793576,-0.0024068375160029346,0.0027628946674107427,0.0007061129842113443,0.0007068631122044897,-9.830995036588733e-06,0
16,-0.6264180172924959,-0.044797764036768044,-0.09040131469319507,-0.015129527436108216,0.001039489235527742,0.005873560031995867,0.003861368626758337,-0.0034312130242391994,0.0014046149561235091,0
50,-1.021663524047507,-0.16151369862255713,0.698397344791545,-0.021276929922047858,0.005356496501081149,0.007696063661123239,-0.003831997756751409,0.0033037917568921006,4.468966859533855e-05,0
229,-1.0081117907283037,-0.15551003452584655,0.7142031349962186,0.018698416536037536,-0.00021849686823934735,0.002121597377697138,-0.00511571292196471,0.001241110792972315,0.0013416020705022617,0
14,-0.29301587068877133,0.04889215812093841,-0.6622157659389145,0.065551111998514,0.0013482752170854504,0.0013764682029128777,0.002285339246005413,-0.0020229617424422294,-0.0009889702072597016,0
308,1.2940537398833047,-0.9866395407884289,-0.226120087949057,-0.021457347934516376,-0.00246813274345887,0.002317694606429886,0.0001535712586196236,0.0010774063814103746,-5.505901744555591e-05,0
247,-0.8235957490549758,-0.10780544235363045,0.3045140922890831,-0.03502830887102795,-0.007488198837898155,0.0013974589215685672,0.0024067587617410476,-0.004128585175520275,0.0014898970264194576,0
306,2.814517009255029,-2.0363266540722655,0.42828089222632165,0.01775450911757141,0.0006117654146091086,-0.0014692339948178673,-0.0008264995009382091,0.0002532802466097616,-8.990160688260668e-06,0
269,-0.599954233817545,-0.04322760273045429,-0.1594082171300569,-0.0327638415039831,0.005925407115886591,0.005868218724748884,0.00916337791073281,-0.0014718723933120955,0.0008772007545409168,0
258,-0.32834402639983407,0.036627903499795195,-0.6835384492454899,-0.011095796994129608,0.016229575999385962,-0.0008432427921663728,0.00293432094375304,-0.005311661494986603,0.0008756862455982983,0
252,-0.27476412252954924,0.05792571095494486,-0.7355039057766483,0.043698722721090544,0.002326270276639698,-0.0005363383708645338,0.0015669818400901136,2.4655569011749255e-05,0.00013865896775437523,0
