,WWWSEX,WWWWHITE,W12EDUC3,AGE65PLM,AGE4049M,WWWBLACK,W1FIPCOM,AGE5059M,W2TOTCL,WWWHOMLN,W2FIPCOM,AGE3039,AGE1829,W1TRUAM2,EDUCAT4,WWWBRNUS,W2CIVLIB,WWWHISP,CENSDIV,WWWEDU3,WWWAGEC1,WWWEDU5,W1STATE,W12RACE4,WWWRACE4,WWWRACE3,NEWRACE,W2SECURE,AGE6064M,WWWAGE,COMPLET2,IMPHISP,RACES,W12OTHET,RACWT1RV,USAWT1RV,RHWT2CC,USAWT2RC,USAWT2CC,USAWT2NC,W2MISSCL,RHWT2RC,MULT2
726,-1,-1,0.0,-1.0,1.0,1,0.4285714285714285,-1.0,1.0000000000000002,-1.0,-0.1428571428571429,-1.0,-1.0,0.20000000000000018,0.3333333333333335,1.0,1.0000000000000002,-1,0.29032258064516125,0.0,0.0,0.0,-0.5636363636363637,-0.33333333333333326,-0.33333333333333326,0,0.0,-0.8181818181818181,-1.0,-0.21739130434782616,-1.0,0.1428571428571428,-0.5999999999999999,-1.0,-0.34320053591270727,-0.3868793508383266,-0.5188523320220182,-0.5508096945985229,-0.7763096420409121,-1.0,-0.75,-0.5508096945984045,-1.0
2742,-1,-1,1.0,1.0,-1.0,1,-1.0,-1.0,0.8181818181818183,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,1.0,1.0,0.4545454545454546,-1,-0.935483870967742,1.0,0.9999999999999998,0.5,0.49090909090909074,-0.33333333333333326,-0.33333333333333326,0,0.0,-0.4545454545454545,-1.0,0.7101449275362319,1.0,0.1428571428571428,-0.5999999999999999,-1.0,-1.0,-1.0,-0.98896122068366,-1.0,-0.9948679612081422,-0.996343417561601,-0.5,-1.0,-1.0
1763,1,1,1.0,-1.0,-1.0,-1,-1.0,1.0,0.8181818181818183,-1.0,0.7142857142857141,-1.0,-1.0,-1.0,1.0,1.0,0.4545454545454546,-1,-0.3548387096774195,1.0,0.33333333333333326,0.5,0.38181818181818183,-0.9999999999999999,-0.9999999999999999,-1,-1.0,-0.4545454545454545,-1.0,-0.04347826086956519,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9822815535832085,-1.0,-0.9813008081113177,-0.9811583682239177,-0.5,-1.0,-1.0
1741,1,1,1.0,-1.0,1.0,-1,-1.0,-1.0,0.8181818181818183,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,-0.4545454545454545,-1,-0.935483870967742,1.0,0.0,0.5,0.19999999999999996,-0.9999999999999999,-0.9999999999999999,-1,-1.0,0.4545454545454546,-1.0,-0.3623188405797102,1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9128460221200259,-1.0,-0.9080219045225207,-0.9083107199782874,-0.5,-1.0,-1.0
1023,1,1,0.0,-1.0,-1.0,-1,0.4285714285714285,1.0,1.0000000000000002,1.0,-0.1428571428571429,-1.0,-1.0,0.6000000000000001,0.3333333333333335,1.0,0.6363636363636365,-1,0.41935483870967727,0.0,0.33333333333333326,0.0,0.4181818181818182,-0.9999999999999999,-0.9999999999999999,-1,-1.0,-0.4545454545454545,-1.0,-0.07246376811594213,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8876286366150632,-0.7753954259608403,-0.9294353839000044,-0.8223857788488746,-0.925529515062179,-1.0,-0.75,-0.907120650192997,-1.0
1810,1,1,1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0000000000000002,1.0,0.4285714285714285,-1.0,-1.0,-1.0,1.0,1.0,0.6363636363636365,-1,-0.3548387096774195,1.0,0.6666666666666667,1.0,-0.09090909090909094,-0.9999999999999999,-0.9999999999999999,-1,-1.0,-0.4545454545454545,1.0,0.2753623188405796,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9734197765484859,-1.0,-0.9719485169822976,-0.9717348366207083,-0.75,-1.0,-1.0
1451,-1,-1,0.0,-1.0,-1.0,-1,0.4285714285714285,-1.0,1.0000000000000002,1.0,0.9999999999999999,-1.0,1.0,-0.6,0.3333333333333335,1.0,0.4545454545454546,1,0.29032258064516125,0.0,-1.0,0.0,-0.6000000000000001,0.3333333333333335,0.3333333333333335,-1,-1.0,-0.2727272727272727,-1.0,-0.9130434782608696,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-0.8107742267341631,-0.6217810933197618,-0.5970369878189474,-0.6042076222046282,-0.8167417274606797,-1.0,-0.75,-0.7816046490839853,-1.0
974,1,1,1.0,-1.0,-1.0,-1,0.4285714285714285,-1.0,1.0000000000000002,-1.0,0.9999999999999999,-1.0,1.0,-0.19999999999999996,1.0,1.0,0.4545454545454546,-1,-0.935483870967742,1.0,-0.6666666666666666,0.5,0.49090909090909074,-0.9999999999999999,-0.9999999999999999,-1,-1.0,-0.2727272727272727,-1.0,-0.6811594202898552,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8704620854548769,-0.7410834287141093,-0.9066565285296545,-0.7658865244039247,-0.901489812169932,-1.0,-0.75,-0.8775756397572342,-1.0
1218,1,1,1.0,1.0,-1.0,-1,0.4285714285714285,-1.0,1.0000000000000002,-1.0,0.9999999999999999,-1.0,-1.0,1.0,1.0,1.0,-0.2727272727272727,-1,0.29032258064516125,1.0,0.9999999999999998,1.0,0.9272727272727272,-0.9999999999999999,-0.9999999999999999,-1,-1.0,0.4545454545454546,-1.0,0.7391304347826084,1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9434893286801715,-0.8870481332776923,-0.958857776113867,-0.8959623791432897,-0.956580485609382,-1.0,-0.75,-0.9455958733594859,-1.0
1617,1,1,0.0,1.0,-1.0,-1,-1.0,-1.0,0.8181818181818183,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,0.3333333333333335,1.0,0.09090909090909105,-1,0.29032258064516125,0.0,0.9999999999999998,0.0,0.3090909090909091,-0.9999999999999999,-0.9999999999999999,-1,-1.0,-0.09090909090909083,-1.0,0.7971014492753623,1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9460369447269273,-1.0,-0.943049999886515,-0.9430260713150641,-0.5,-1.0,-1.0
334,1,-1,-1.0,1.0,-1.0,1,0.4285714285714285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6000000000000001,-0.33333333333333326,1.0,-1.0,-1,-0.3548387096774195,0.0,0.9999999999999998,-0.5,-0.38181818181818183,-0.33333333333333326,-0.33333333333333326,0,0.0,-1.0,-1.0,0.7681159420289854,-1.0,0.1428571428571428,-0.5999999999999999,-1.0,-0.9943161427926361,-0.9946941335806909,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
