,UMAP_1,UMAP_2
1938,12.049939,2.2582242
1129,15.21482,-4.8669276
2894,-0.5492937,13.127832
2086,-1.0123969,12.628783
2003,-7.0977135,6.423903
2028,-6.7454915,6.398051
2164,-0.17634434,13.215965
1277,14.504545,-4.3257346
721,8.233807,-4.4975576
1822,15.673216,-3.5198946
2154,-0.3061906,12.371052
2884,-6.7114463,5.5469074
957,14.699908,-4.641382
922,7.759737,2.8661566
1204,11.080604,7.7543025
1984,-5.3510613,3.6982434
504,-5.503689,5.347094
849,7.9664035,3.261741
5,-0.56831706,12.043266
741,9.669662,5.159749
1190,9.830381,7.639472
872,13.594533,14.05189
1610,14.621024,-3.9421418
2067,11.366596,8.038121
600,14.126342,13.848715
2848,13.154094,-3.5966039
2095,12.14793,2.1614017
130,13.119931,-3.9036984
1746,8.5087805,-4.214359
195,8.052514,3.0521123
58,15.170306,-4.7895093
1660,12.011276,10.765112
933,11.2049265,7.804452
1340,8.765753,4.509254
847,-4.3206124,5.1124763
860,12.476866,2.6929374
573,13.20127,-3.9249456
672,13.161626,-3.8711321
3311,14.207141,14.816164
2428,8.644143,-4.5251584
2148,-0.5772924,13.207685
1195,7.80616,2.9647033
1884,12.3392725,2.9375439
1985,-5.9423504,4.505551
