,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10
1968,1.136077680114224,0.28776000415732716,1.394363499396298,-2.0137730384297203,-0.4964436933702922,-0.6267510064265912,-0.7107707704225174,-1.5715370867074878,0.7936071185475906,-0.06898303852678828
3121,-2.2606298900816912,0.8603448441156532,1.312463151399945,-0.25897618678491313,0.06167493181671954,1.0776679489917476,-1.0884438716033933,-1.1435247998574922,0.28309477406371314,0.3685965389618686
1017,-1.1748741729818755,0.48716396171129567,-0.16238822947100284,0.35109120251553194,-1.7354095164415237,-0.625493600831227,0.07506432017960459,-0.11400107589010297,-0.7665859088917805,-1.2925740338049048
344,2.5800360990275513,-2.5408489026282535,-1.5289183693357227,-2.152628147144471,1.0345102427128618,-0.6069299972944853,0.4279600377704139,-0.15919436721831065,-0.38979954342705225,-0.6874279156008651
1586,-1.7557241729499873,0.7793088977199939,1.1534240974223702,0.2041178357166087,-0.31780127659767204,-1.5246023531383635,-0.9318358567836528,0.9607807576195938,-0.281544544564888,0.5952637818425438
2096,-1.6610309559334442,-0.2723140525646921,0.7151718129997632,1.1470358068782092,-0.10508201462551126,-0.5213083465978477,2.0877165585187702,0.24577749728140375,1.0481516170783092,0.6282632895917708
2354,1.5373129129201732,2.286060188204636,1.6932477343004024,2.1781279955652137,0.9713120569997465,1.1998582177343984,0.7421722544294356,0.08743275378933643,0.1949259928666761,0.3952710427501274
1932,-0.9633869436877487,1.381282663591253,-1.818866104659815,-1.6357925512375284,0.8729370182966084,0.8746592322436798,0.7917264970771377,0.14289824982130758,-0.8574103211313269,1.4645112671221105
932,-1.6265440113767693,-0.0155244802143729,1.082504921929217,0.9697620691624226,-0.34123369118974745,1.1246867120419213,1.2593201180389573,0.4607233022035041,0.2825359937038144,0.16454701261073082
968,-1.2795554030572271,0.2614468482250999,-0.14015650770675958,0.27226173215395255,-1.0303062185668195,1.2195051197228008,1.3122835124516494,0.6876997572659747,0.7926617959837895,-0.33527512386805713
3234,-0.6234110100498355,1.0786087957208375,-0.8880963533887437,-0.0662613921368941,-1.4212249441954175,-0.8417539576903207,1.4905420654603845,-0.10249537442323349,0.47996889071371507,-0.002522304182918672
431,1.8797152203428904,-2.1361982941770044,0.8531195819242401,-0.7782383688215977,0.2505095366499895,1.4749966071684777,-1.2650086592738086,-1.2773992822888594,0.7814611298575752,0.11663972173855142
1764,-2.104538439368166,0.9614864565185123,1.0098607350655529,-0.19460845795713216,0.2161800226015333,1.0920401477538695,-1.009867800084738,-1.0962288253724046,0.30225941679466295,0.29274841290046016
2902,1.979785930753221,0.5595378625314464,-1.0445603361930769,-3.2655430256826703,0.2309932123199688,1.058005669880224,0.691177588254905,0.005333520743203373,-0.659700524600212,1.4084206078057995
891,-1.9928784755526057,-0.008692951158492616,0.7760627681697599,0.14365213983805392,0.8165836492522259,-0.7894522270584478,0.18381467244468197,0.23768103739779617,0.17585158133672768,-0.6919583402179741
2055,-1.8860630654793724,0.8224824041370873,0.8552431289946721,-0.10951806004138973,0.579313026311142,0.8598670509443149,-0.32969872329449956,0.09976179269938679,-0.7466589237933966,0.4905724831158539
2056,1.1302510696244787,0.6107114005563706,2.900028380145401,-0.635406867023925,-1.3824710550990953,1.174630235381791,-0.3770479935725775,-0.28329586095213205,-1.502905278047361,-0.04938311467955133
2199,2.5360472400055922,2.3786156673436403,-1.4186385703987512,0.11249606521969986,2.184161810782545,-0.7748866218503548,0.47881996881713423,-0.5879792254515224,-0.5868873769722125,1.1612425203701775
1635,-1.5575050113866136,0.8389590392628113,1.2846948928021047,0.8825378708232519,-1.1962101850251408,-0.8233948296814957,-0.07872108009242443,-0.6187005281066332,-1.683679694590403,-0.3639444380033163
2961,1.0551026311880842,0.46043776525725183,1.5081705971968915,-2.156188660812031,-0.5796202724322135,-0.6174872924047262,-0.6499987968722254,-1.5362400677917993,0.8858737920271013,-0.12133188863493383
1179,-1.5158233036594777,0.09826965071394599,-0.2531672402409459,-0.18507298222204238,-0.4876424426212058,0.6657903545356578,-0.8120205470842429,2.1760992235272956,0.815865019300165,-0.3764760397734069
660,3.2312294006234135,-2.5281115393584455,0.8206166791980808,-0.9207108112700259,2.6931960818413967,-0.081363586754762,0.6590393622385939,0.04139460983995572,-0.5551817218358597,-1.3419183598139686
324,2.7391827259092287,-2.52213094107075,-0.47547886660045036,-0.2543139016706725,-1.628255968419459,-0.24606206439728173,0.17021017732979965,-0.8637049545694939,-0.9000516023681789,0.5734534227443017
