,Augmentation Methods,GAN,Data Type,Data Transformation,Classifiers,Improvement in Accuracy
340,smoteTomek,True,umap,normal,MLP,-0.0278
341,smoteTomek,True,umap,normal,logisticRegression,0.0131
342,smoteTomek,True,umap,normal,decisionTree,0.0321
343,smoteTomek,True,umap,normal,randomForest,0.0541
344,smoteTomek,True,umap,normal,xgb,0.0687
345,smoteTomek,True,umap,oneW,MLP,0.0885
346,smoteTomek,True,umap,oneW,logisticRegression,-0.0221
347,smoteTomek,True,umap,oneW,decisionTree,-0.1416
348,smoteTomek,True,umap,oneW,randomForest,-0.1239
349,smoteTomek,True,umap,oneW,xgb,-0.0354
350,smoteTomek,True,pca_umap,normal,MLP,-0.2515
351,smoteTomek,True,pca_umap,normal,logisticRegression,-0.1973
352,smoteTomek,True,pca_umap,normal,decisionTree,-0.0658
353,smoteTomek,True,pca_umap,normal,randomForest,-0.1491
354,smoteTomek,True,pca_umap,normal,xgb,-0.1154
355,smoteTomek,True,pca_umap,oneW,MLP,0.115
356,smoteTomek,True,pca_umap,oneW,logisticRegression,0.146
357,smoteTomek,True,pca_umap,oneW,decisionTree,-0.0885
358,smoteTomek,True,pca_umap,oneW,randomForest,-0.0531
359,smoteTomek,True,pca_umap,oneW,xgb,-0.0133
360,smoteTomek,False,raw,normal,MLP,0.0424
361,smoteTomek,False,raw,normal,logisticRegression,0.0293
362,smoteTomek,False,raw,normal,decisionTree,0.0234
363,smoteTomek,False,raw,normal,randomForest,0.0571
364,smoteTomek,False,raw,normal,xgb,0.0147
365,smoteTomek,False,raw,oneW,MLP,0.0443
366,smoteTomek,False,raw,oneW,logisticRegression,0.0045
367,smoteTomek,False,raw,oneW,decisionTree,0.0088
368,smoteTomek,False,raw,oneW,randomForest,0.0221
369,smoteTomek,False,raw,oneW,xgb,0.0531
370,smoteTomek,False,pca,normal,MLP,0.0599
371,smoteTomek,False,pca,normal,logisticRegression,0.0278
372,smoteTomek,False,pca,normal,decisionTree,0.016
373,smoteTomek,False,pca,normal,randomForest,0.0117
374,smoteTomek,False,pca,normal,xgb,-0.0043
375,smoteTomek,False,pca,oneW,MLP,-0.0531
376,smoteTomek,False,pca,oneW,logisticRegression,-0.0752
377,smoteTomek,False,pca,oneW,decisionTree,0.0354
378,smoteTomek,False,pca,oneW,randomForest,-0.0045
379,smoteTomek,False,pca,oneW,xgb,-0.0221
380,smoteTomek,False,umap,normal,MLP,0.114
381,smoteTomek,False,umap,normal,logisticRegression,0.019
382,smoteTomek,False,umap,normal,decisionTree,0.1652
383,smoteTomek,False,umap,normal,randomForest,0.2076
384,smoteTomek,False,umap,normal,xgb,0.2515
385,smoteTomek,False,umap,oneW,MLP,0.2522
386,smoteTomek,False,umap,oneW,logisticRegression,-0.0487
387,smoteTomek,False,umap,oneW,decisionTree,-0.0797
388,smoteTomek,False,umap,oneW,randomForest,-0.2213
389,smoteTomek,False,umap,oneW,xgb,-0.1858
390,smoteTomek,False,pca_umap,normal,MLP,-0.1228
391,smoteTomek,False,pca_umap,normal,logisticRegression,-0.1564
392,smoteTomek,False,pca_umap,normal,decisionTree,-0.0277
393,smoteTomek,False,pca_umap,normal,randomForest,-0.0175
394,smoteTomek,False,pca_umap,normal,xgb,-0.0014
395,smoteTomek,False,pca_umap,oneW,MLP,0.1238
396,smoteTomek,False,pca_umap,oneW,logisticRegression,0.115
397,smoteTomek,False,pca_umap,oneW,decisionTree,0.0
398,smoteTomek,False,pca_umap,oneW,randomForest,0.0
399,smoteTomek,False,pca_umap,oneW,xgb,-0.1106
