,Unnamed: 0,Data Type,Data Transformation,X_train Size,X_test Size,Classifiers,Training Accuracy,Accuracy,Weighted F1,Cohen Kappa,Data Augmentation Methods,GAN,seed
262,262,umap,,"(3132, 2)","(684, 2)",randomForest,0.9579,0.576,0.5865,-0.0373,editNN,True,1
263,263,umap,,"(3132, 2)","(684, 2)",xgb,0.9492,0.4766,0.4631,-0.1484,editNN,True,1
264,264,umap,,"(1044, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,tomkLink,False,1
265,265,umap,,"(1044, 2)","(684, 2)",MLP,0.7174,0.3991,0.4399,0.0358,tomkLink,False,1
266,266,umap,,"(1044, 2)","(684, 2)",logisticRegression,0.636,0.4795,0.4658,-0.1392,tomkLink,False,1
267,267,umap,,"(1044, 2)","(684, 2)",decisionTree,0.7807,0.4547,0.4364,-0.0416,tomkLink,False,1
268,268,umap,,"(1044, 2)","(684, 2)",randomForest,0.7979,0.4547,0.4362,-0.0439,tomkLink,False,1
269,269,umap,,"(1044, 2)","(684, 2)",xgb,0.7835,0.5132,0.4946,0.0219,tomkLink,False,1
270,270,umap,,"(3132, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,tomkLink,True,1
271,271,umap,,"(3132, 2)","(684, 2)",MLP,0.8225,0.3816,0.3664,-0.1398,tomkLink,True,1
272,272,umap,,"(3132, 2)","(684, 2)",logisticRegression,0.7334,0.4371,0.4338,0.0076,tomkLink,True,1
273,273,umap,,"(3132, 2)","(684, 2)",decisionTree,0.9205,0.5102,0.4959,-0.0603,tomkLink,True,1
274,274,umap,,"(3132, 2)","(684, 2)",randomForest,0.9253,0.4605,0.4421,-0.0349,tomkLink,True,1
275,275,umap,,"(3132, 2)","(684, 2)",xgb,0.8972,0.4386,0.4184,-0.1713,tomkLink,True,1
276,276,umap,,"(1058, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,smoteNN,False,1
277,277,umap,,"(1058, 2)","(684, 2)",MLP,0.9064,0.6067,0.6781,-0.1275,smoteNN,False,1
278,278,umap,,"(1058, 2)","(684, 2)",logisticRegression,0.6635,0.5205,0.5282,-0.1574,smoteNN,False,1
279,279,umap,,"(1058, 2)","(684, 2)",decisionTree,0.9386,0.595,0.6419,-0.1009,smoteNN,False,1
280,280,umap,,"(1058, 2)","(684, 2)",randomForest,0.9376,0.5716,0.6105,-0.1368,smoteNN,False,1
281,281,umap,,"(1058, 2)","(684, 2)",xgb,0.9518,0.5863,0.6288,-0.1113,smoteNN,False,1
282,282,umap,,"(3174, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,smoteNN,True,1
283,283,umap,,"(3174, 2)","(684, 2)",MLP,0.9354,0.5015,0.4825,0.0074,smoteNN,True,1
284,284,umap,,"(3174, 2)","(684, 2)",logisticRegression,0.7451,0.4781,0.4847,0.108,smoteNN,True,1
285,285,umap,,"(3174, 2)","(684, 2)",decisionTree,0.9767,0.5775,0.5994,-0.0735,smoteNN,True,1
286,286,umap,,"(3174, 2)","(684, 2)",randomForest,0.9745,0.5146,0.4962,0.0149,smoteNN,True,1
287,287,umap,,"(3174, 2)","(684, 2)",xgb,0.9729,0.5789,0.5711,0.0553,smoteNN,True,1
288,288,umap,,"(2082, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,smoteTomek,False,1
289,289,umap,,"(2082, 2)","(684, 2)",MLP,0.72,0.6111,0.6354,-0.0008,smoteTomek,False,1
290,290,umap,,"(2082, 2)","(684, 2)",logisticRegression,0.5898,0.5205,0.5282,-0.1574,smoteTomek,False,1
291,291,umap,,"(2082, 2)","(684, 2)",decisionTree,0.8064,0.636,0.6639,0.048,smoteTomek,False,1
292,292,umap,,"(2082, 2)","(684, 2)",randomForest,0.8261,0.6506,0.7239,-0.0214,smoteTomek,False,1
293,293,umap,,"(2082, 2)","(684, 2)",xgb,0.8405,0.6857,0.765,0.0564,smoteTomek,False,1
294,294,umap,,"(6246, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,smoteTomek,True,1
295,295,umap,,"(6246, 2)","(684, 2)",MLP,0.8002,0.4693,0.4509,-0.0203,smoteTomek,True,1
296,296,umap,,"(6246, 2)","(684, 2)",logisticRegression,0.6848,0.5146,0.5173,-0.1498,smoteTomek,True,1
297,297,umap,,"(6246, 2)","(684, 2)",decisionTree,0.9464,0.5029,0.4928,-0.1097,smoteTomek,True,1
298,298,umap,,"(6246, 2)","(684, 2)",randomForest,0.9459,0.4971,0.4906,-0.1457,smoteTomek,True,1
299,299,umap,,"(6246, 2)","(684, 2)",xgb,0.8974,0.5029,0.4981,-0.1411,smoteTomek,True,1
300,300,umap,oneW,"(638, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,smote,False,1
301,301,umap,oneW,"(638, 2)","(226, 2)",MLP,0.6034,0.6549,0.7914,0.0,smote,False,1
302,302,umap,oneW,"(638, 2)","(226, 2)",logisticRegression,0.5815,0.6327,0.6694,0.0849,smote,False,1
303,303,umap,oneW,"(638, 2)","(226, 2)",decisionTree,0.6395,0.6018,0.6309,0.0309,smote,False,1
304,304,umap,oneW,"(638, 2)","(226, 2)",randomForest,0.848,0.4204,0.4631,0.0273,smote,False,1
305,305,umap,oneW,"(638, 2)","(226, 2)",xgb,0.7821,0.4159,0.4176,-0.0606,smote,False,1
306,306,umap,oneW,"(1914, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,smote,True,1
307,307,umap,oneW,"(1914, 2)","(226, 2)",MLP,0.7273,0.6549,0.6733,0.1766,smote,True,1
308,308,umap,oneW,"(1914, 2)","(226, 2)",logisticRegression,0.5141,0.5044,0.4972,-0.0578,smote,True,1
309,309,umap,oneW,"(1914, 2)","(226, 2)",decisionTree,0.9216,0.6239,0.6475,0.0938,smote,True,1
310,310,umap,oneW,"(1914, 2)","(226, 2)",randomForest,0.9127,0.5841,0.6116,-0.0055,smote,True,1
311,311,umap,oneW,"(1914, 2)","(226, 2)",xgb,0.883,0.6195,0.6696,0.0286,smote,True,1
312,312,umap,oneW,"(192, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,editNN,False,1
313,313,umap,oneW,"(192, 2)","(226, 2)",MLP,0.5625,0.615,0.6262,0.1078,editNN,False,1
314,314,umap,oneW,"(192, 2)","(226, 2)",logisticRegression,0.5,0.6549,0.7914,0.0,editNN,False,1
315,315,umap,oneW,"(192, 2)","(226, 2)",decisionTree,0.7031,0.4602,0.4668,0.0342,editNN,False,1
316,316,umap,oneW,"(192, 2)","(226, 2)",randomForest,0.8281,0.5133,0.5075,0.089,editNN,False,1
317,317,umap,oneW,"(192, 2)","(226, 2)",xgb,0.9167,0.5575,0.5468,0.1027,editNN,False,1
318,318,umap,oneW,"(576, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,editNN,True,1
319,319,umap,oneW,"(576, 2)","(226, 2)",MLP,0.7292,0.6018,0.5976,0.1399,editNN,True,1
320,320,umap,oneW,"(576, 2)","(226, 2)",logisticRegression,0.5868,0.677,0.7041,0.206,editNN,True,1
321,321,umap,oneW,"(576, 2)","(226, 2)",decisionTree,0.9132,0.6549,0.7835,0.0079,editNN,True,1
322,322,umap,oneW,"(576, 2)","(226, 2)",randomForest,0.9184,0.6327,0.7139,0.0105,editNN,True,1
