,Unnamed: 0,Data Type,Data Transformation,X_train Size,X_test Size,Classifiers,Training Accuracy,Accuracy,Weighted F1,Cohen Kappa,Data Augmentation Methods,GAN,seed
211,211,pca,oneW,"(1080, 10)","(226, 10)",MLP,0.775,0.4513,0.4412,-0.0485,tomkLink,True,1
212,212,pca,oneW,"(1080, 10)","(226, 10)",logisticRegression,0.7213,0.4735,0.4607,-0.0417,tomkLink,True,1
213,213,pca,oneW,"(1080, 10)","(226, 10)",decisionTree,0.9657,0.5044,0.5133,-0.1306,tomkLink,True,1
214,214,pca,oneW,"(1080, 10)","(226, 10)",randomForest,0.9944,0.4867,0.4745,-0.0466,tomkLink,True,1
215,215,pca,oneW,"(1080, 10)","(226, 10)",xgb,1.0,0.4823,0.4698,-0.0527,tomkLink,True,1
216,216,pca,oneW,"(166, 10)","(226, 10)",naive,0.5,0.6549,0.7914,0.0,smoteNN,False,1
217,217,pca,oneW,"(166, 10)","(226, 10)",MLP,0.8193,0.5929,0.5834,0.2012,smoteNN,False,1
218,218,pca,oneW,"(166, 10)","(226, 10)",logisticRegression,0.7289,0.615,0.6062,0.2084,smoteNN,False,1
219,219,pca,oneW,"(166, 10)","(226, 10)",decisionTree,0.8855,0.5929,0.585,0.146,smoteNN,False,1
220,220,pca,oneW,"(166, 10)","(226, 10)",randomForest,0.9759,0.5973,0.5881,0.172,smoteNN,False,1
221,221,pca,oneW,"(166, 10)","(226, 10)",xgb,1.0,0.6062,0.5988,0.1715,smoteNN,False,1
222,222,pca,oneW,"(498, 9)","(226, 9)",naive,0.5,0.6549,0.7914,0.0,smoteNN,True,1
223,223,pca,oneW,"(498, 9)","(226, 9)",MLP,0.8594,0.4779,0.466,-0.0191,smoteNN,True,1
224,224,pca,oneW,"(498, 9)","(226, 9)",logisticRegression,0.7871,0.4823,0.4718,0.0029,smoteNN,True,1
225,225,pca,oneW,"(498, 9)","(226, 9)",decisionTree,0.992,0.4823,0.4714,-0.0767,smoteNN,True,1
226,226,pca,oneW,"(498, 9)","(226, 9)",randomForest,0.996,0.4912,0.4817,-0.0705,smoteNN,True,1
227,227,pca,oneW,"(498, 9)","(226, 9)",xgb,1.0,0.5,0.4923,-0.0642,smoteNN,True,1
228,228,pca,oneW,"(552, 10)","(226, 10)",naive,0.5,0.6549,0.7914,0.0,smoteTomek,False,1
229,229,pca,oneW,"(552, 10)","(226, 10)",MLP,0.7609,0.4823,0.4696,-0.0411,smoteTomek,False,1
230,230,pca,oneW,"(552, 10)","(226, 10)",logisticRegression,0.7409,0.4336,0.4197,-0.1359,smoteTomek,False,1
231,231,pca,oneW,"(552, 10)","(226, 10)",decisionTree,0.8406,0.5221,0.5221,-0.0572,smoteTomek,False,1
232,232,pca,oneW,"(552, 10)","(226, 10)",randomForest,0.9402,0.5265,0.5201,-0.0136,smoteTomek,False,1
233,233,pca,oneW,"(552, 10)","(226, 10)",xgb,1.0,0.5044,0.4992,-0.0704,smoteTomek,False,1
234,234,pca,oneW,"(1656, 10)","(226, 10)",naive,0.5,0.6549,0.7914,0.0,smoteTomek,True,1
